disk_id,   hit_count,   start_times,     energy
      0,         158,            55,    39215.5
      1,         111,            34,    22817.4
      2,          68,            43,    28200.0
      3,          28,            20,    12407.6
      4,          76,            46,    30292.6
      5,          36,            27,    16908.7
      6,          93,            43,    29575.4
      7,          52,            36,    23219.0
      8,          70,            46,    28275.0
      9,         119,            49,    33013.9
     10,          62,            26,    18229.2
     11,          33,            21,    12735.5
     12,         136,            59,    41324.5
     13,          58,            41,    25866.7
     14,          69,            37,    23202.3
     15,          90,            37,    24340.8
     16,          33,            25,    15589.3
     17,          75,            43,    28860.1
     18,          92,            42,    28557.2
     19,         113,            51,    35076.7
     20,          55,            30,    19928.8
     21,          21,             9,     5537.4
     22,          78,            46,    29505.2
     23,          29,            18,    11001.8
     24,         113,            60,    39762.3
     25,          36,            23,    14488.0
     26,          89,            47,    31966.6
     27,          12,             8,     4740.8
     28,         108,            55,    35873.0
     29,          77,            42,    26910.9
     30,          54,            35,    21855.4
     31,          87,            47,    29655.2
     32,         130,            57,    38563.2
     33,          58,            30,    19418.7
     34,          41,            26,    15760.9
     35,          71,            35,    21921.3
     36,          46,            24,    15232.5
     37,          90,            41,    29750.5
     38,          74,            37,    24503.4
     39,          71,            33,    22806.3
     40,          35,            20,    12171.0
     41,          85,            42,    27616.5
     42,         103,            44,    29594.0
     43,          75,            33,    22378.3
     44,          79,            43,    26620.4
     45,         152,            50,    37739.0
     46,         109,            51,    34034.6
     47,         110,            52,    35101.6
     48,         104,            52,    35932.7
     49,          72,            44,    28244.5
     50,         193,            59,    46394.6
     51,         130,            58,    42476.1
     52,         116,            58,    40576.4
     53,         154,            63,    47040.8
     54,         110,            59,    40580.7
     55,         137,            58,    42751.9
     56,         107,            57,    38913.6
     57,         129,            64,    42294.9
     58,         158,            60,    45878.5
     59,         117,            58,    42421.4
     60,         173,            58,    45988.1
     61,         114,            47,    33775.1
     62,         126,            61,    43272.4
     63,         116,            55,    40019.0
     64,         112,            62,    42192.9
     65,         198,            62,    48918.0
     66,         149,            58,    45823.3
     67,         130,            62,    42438.5
     68,         139,            61,    44053.0
     69,          88,            48,    33363.5

Total start times: 3083.
Average start times per disk: 44.042857.

Total energy consumed: 2115.494900 kJ.
Average energy consumed per second: 210.664698 J.

Average opened disks per second: 22.122286.
