disk_id,   hit_count,   start_times,     energy
      0,         158,            42,    45230.3
      1,         111,            27,    26836.0
      2,          68,            39,    34575.5
      3,          28,            19,    15772.0
      4,          76,            37,    35702.5
      5,          36,            26,    21487.0
      6,          93,            37,    35561.0
      7,          52,            32,    28319.6
      8,          70,            42,    35352.0
      9,         119,            38,    38772.0
     10,          62,            26,    22987.2
     11,          33,            20,    16215.8
     12,         136,            46,    48010.3
     13,          58,            36,    31440.3
     14,          69,            33,    28632.3
     15,          90,            31,    28929.5
     16,          33,            22,    19094.5
     17,          75,            33,    33632.8
     18,          92,            33,    33424.2
     19,         113,            41,    41264.6
     20,          55,            24,    23681.8
     21,          21,             9,     7184.4
     22,          78,            35,    34330.0
     23,          29,            18,    14295.8
     24,         113,            44,    45799.2
     25,          36,            21,    17971.6
     26,          89,            37,    37721.4
     27,          12,             8,     6204.8
     28,         108,            45,    42548.9
     29,          77,            36,    32835.5
     30,          54,            31,    26962.1
     31,          87,            39,    35623.0
     32,         130,            41,    43550.9
     33,          58,            25,    23314.8
     34,          41,            26,    20518.9
     35,          71,            31,    26906.0
     36,          46,            21,    18756.0
     37,          90,            30,    33788.4
     38,          74,            31,    29153.1
     39,          71,            30,    27769.4
     40,          35,            19,    15486.6
     41,          85,            36,    33321.5
     42,         103,            33,    34193.1
     43,          75,            27,    26588.8
     44,          79,            35,    31685.4
     45,         152,            40,    43798.8
     46,         109,            44,    41298.4
     47,         110,            38,    39979.0
     48,         104,            43,    42440.6
     49,          72,            35,    33453.1
     50,         193,            39,    50486.6
     51,         130,            40,    47177.6
     52,         116,            46,    47033.2
     53,         154,            49,    54114.2
     54,         110,            43,    46495.6
     55,         137,            40,    47569.3
     56,         107,            42,    44642.2
     57,         129,            43,    47646.8
     58,         158,            47,    52722.9
     59,         117,            40,    47617.0
     60,         173,            40,    50951.9
     61,         114,            40,    40136.1
     62,         126,            42,    48831.2
     63,         116,            43,    45963.4
     64,         112,            47,    48793.8
     65,         198,            42,    53735.9
     66,         149,            39,    50619.6
     67,         130,            44,    48244.1
     68,         139,            46,    50477.0
     69,          88,            37,    38822.7

Total start times: 2441.
Average start times per disk: 34.871429.

Total energy consumed: 2474.481800 kJ.
Average energy consumed per second: 245.679289 J.

Average opened disks per second: 30.414515.
