disk_id,   hit_count,   start_times,     energy
      0,         485,            19,    32340.0
      1,         186,            10,    13267.5
      2,          18,            15,     8693.4
      3,          13,            10,     4590.6
      4,          44,            18,    12135.7
      5,           6,             6,     2772.5
      6,         105,            16,    12754.1
      7,          13,            12,     6011.4
      8,          39,            14,    10617.4
      9,         115,            18,    18473.9
     10,           9,             7,     3473.0
     11,           8,             6,     2778.1
     12,          60,            21,    19512.4
     13,          59,            11,     7650.2
     14,          68,            14,    11197.3
     15,          62,            16,    13125.5
     16,          13,            13,     6319.2
     17,          74,            19,    13222.9
     18,          46,            16,    11318.3
     19,          49,            20,    14985.7
     20,          36,             9,     5555.0
     21,           1,             1,      432.6
     22,         111,            21,    16510.2
     23,           4,             4,     1828.0
     24,          39,            27,    19564.5
     25,          12,             9,     4853.4
     26,         168,            23,    21335.8
     27,           5,             3,     1358.3
     28,         181,            29,    25016.6
     29,          72,            20,    13476.3
     30,          41,            15,     8508.4
     31,          37,            13,     9737.4
     32,         355,            22,    28697.6
     33,          45,             9,     5824.2
     34,          10,             7,     3754.9
     35,          91,            12,     8578.3
     36,          14,            10,     5124.1
     37,          76,            16,    13348.8
     38,          77,            11,     8742.0
     39,          86,            11,     8457.8
     40,          45,             5,     3586.5
     41,         106,            16,    13182.1
     42,         157,            15,    16076.1
     43,         253,            10,    14801.2
     44,         116,            19,    14069.4
     45,         513,            19,    32823.6
     46,         388,            15,    23949.1
     47,         174,            28,    26009.6
     48,          51,            19,    13902.7
     49,          21,            20,    11954.9
     50,         125,            26,    27911.6
     51,          46,            27,    23484.3
     52,          30,            26,    18005.4
     53,         307,            21,    30323.8
     54,         135,            25,    21697.3
     55,          74,            23,    21725.3
     56,          39,            32,    23103.3
     57,          68,            22,    19765.9
     58,          67,            27,    27211.5
     59,          35,            28,    20635.8
     60,          53,            21,    21665.0
     61,          30,            21,    16978.3
     62,          44,            35,    26066.9
     63,          46,            24,    17282.5
     64,         130,            35,    30443.6
     65,         164,            23,    29564.2
     66,          87,            34,    32049.4
     67,          45,            27,    22606.9
     68,         266,            24,    30093.0
     69,          20,            19,    11095.3

Total start times: 1239.
Average start times per disk: 17.700000.

Total energy consumed: 1078.007800 kJ.
Average energy consumed per second: 105.728501 J.

Average opened disks per second: 12.232444.
