disk_id,   hit_count,   start_times,     energy
      0,         158,            79,    28924.9
      1,         111,            40,    15386.1
      2,          68,            56,    19086.4
      3,          28,            23,     7841.0
      4,          76,            60,    20577.9
      5,          36,            32,    10920.3
      6,          93,            59,    20738.6
      7,          52,            44,    14957.6
      8,          70,            51,    17711.6
      9,         119,            66,    23679.7
     10,          62,            35,    12459.4
     11,          33,            22,     7675.3
     12,         136,            85,    30014.7
     13,          58,            50,    16967.6
     14,          69,            41,    14502.7
     15,          90,            44,    16155.9
     16,          33,            30,    10131.6
     17,          75,            59,    20279.5
     18,          92,            56,    19903.9
     19,         113,            70,    24747.7
     20,          55,            38,    13235.1
     21,          21,             9,     3341.4
     22,          78,            58,    20004.5
     23,          29,            19,     6637.0
     24,         113,            76,    26643.3
     25,          36,            27,     9344.7
     26,          89,            64,    22211.5
     27,          12,             8,     2788.8
     28,         108,            68,    24051.0
     29,          77,            51,    17834.9
     30,          54,            41,    14088.6
     31,          87,            53,    18777.4
     32,         130,            75,    26712.5
     33,          58,            37,    13008.9
     34,          41,            27,     9431.9
     35,          71,            39,    13972.0
     36,          46,            28,     9869.6
     37,          90,            62,    21702.4
     38,          74,            48,    16829.9
     39,          71,            44,    15474.4
     40,          35,            21,     7470.7
     41,          85,            53,    18820.6
     42,         103,            58,    20782.1
     43,          75,            44,    15625.9
     44,          79,            46,    16362.5
     45,         152,            83,    29883.1
     46,         109,            64,    22804.3
     47,         110,            69,    24394.9
     48,         104,            72,    25203.9
     49,          72,            55,    19021.6
     50,         193,           104,    37724.4
     51,         130,            91,    31771.5
     52,         116,            84,    29266.6
     53,         154,           102,    35980.9
     54,         110,            84,    29292.5
     55,         137,            88,    31062.9
     56,         107,            81,    28299.7
     57,         129,            82,    29224.2
     58,         158,           101,    35733.1
     59,         117,            90,    31226.0
     60,         173,           103,    36890.9
     61,         114,            70,    24890.8
     62,         126,            92,    32184.0
     63,         116,            84,    29413.0
     64,         112,            86,    30041.8
     65,         198,           108,    38945.2
     66,         149,           102,    36040.1
     67,         130,            89,    31271.8
     68,         139,            97,    33905.8
     69,          88,            66,    23135.4

Total start times: 4243.
Average start times per disk: 60.614286.

Total energy consumed: 1495.292400 kJ.
Average energy consumed per second: 149.499340 J.

Average opened disks per second: 7.469206.
