disk_id,   hit_count,   start_times,     energy
      0,         158,            47,    43591.2
      1,         111,            29,    25646.0
      2,          68,            39,    32196.5
      3,          28,            19,    14613.0
      4,          76,            40,    34070.0
      5,          36,            26,    19901.0
      6,          93,            38,    33520.3
      7,          52,            32,    26367.6
      8,          70,            43,    32994.1
      9,         119,            44,    37611.5
     10,          62,            26,    21401.2
     11,          33,            20,    14995.8
     12,         136,            49,    45828.8
     13,          58,            36,    29244.3
     14,          69,            34,    26817.3
     15,          90,            31,    27038.5
     16,          33,            22,    17752.5
     17,          75,            36,    32134.5
     18,          92,            35,    31831.6
     19,         113,            43,    39049.8
     20,          55,            26,    22546.7
     21,          21,             9,     6635.4
     22,          78,            38,    32734.1
     23,          29,            18,    13197.8
     24,         113,            49,    43946.6
     25,          36,            21,    16690.6
     26,          89,            41,    36225.9
     27,          12,             8,     5716.8
     28,         108,            47,    40218.2
     29,          77,            38,    30937.9
     30,          54,            32,    25250.8
     31,          87,            40,    33393.2
     32,         130,            46,    42082.6
     33,          58,            25,    21789.8
     34,          41,            26,    18932.9
     35,          71,            32,    25194.7
     36,          46,            23,    17913.7
     37,          90,            33,    32491.4
     38,          74,            33,    27725.2
     39,          71,            30,    25939.4
     40,          35,            19,    14327.6
     41,          85,            38,    31533.7
     42,         103,            38,    33212.8
     43,          75,            30,    25596.8
     44,          79,            37,    29964.7
     45,         152,            43,    41873.5
     46,         109,            47,    39116.9
     47,         110,            41,    38200.1
     48,         104,            45,    40195.3
     49,          72,            37,    31659.2
     50,         193,            42,    48701.6
     51,         130,            44,    45541.8
     52,         116,            46,    44227.2
     53,         154,            51,    51460.2
     54,         110,            46,    44344.6
     55,         137,            44,    45921.3
     56,         107,            44,    42457.9
     57,         129,            50,    46263.4
     58,         158,            49,    50178.7
     59,         117,            46,    46322.3
     60,         173,            43,    49075.4
     61,         114,            41,    37881.9
     62,         126,            49,    47521.0
     63,         116,            44,    43581.1
     64,         112,            51,    46718.8
     65,         198,            47,    52121.2
     66,         149,            44,    49139.1
     67,         130,            50,    46674.9
     68,         139,            51,    48600.0
     69,          88,            39,    36955.6

Total start times: 2600.
Average start times per disk: 37.142857.

Total energy consumed: 2355.537800 kJ.
Average energy consumed per second: 234.102345 J.

Average opened disks per second: 27.883323.
