disk_id,   hit_count,   start_times,     energy
      0,         554,            13,    45162.6
      1,         190,            11,    23718.6
      2,          17,            16,    14476.2
      3,          11,             8,     5750.6
      4,          43,            14,    17264.0
      5,           6,             6,     4206.0
      6,         104,            14,    18116.1
      7,          14,            11,     9256.6
      8,          40,            15,    18339.5
      9,         105,            14,    26814.1
     10,          12,             9,     6915.2
     11,          13,             9,     6149.4
     12,          62,            17,    32248.2
     13,          79,            11,    12543.5
     14,          46,            13,    14761.3
     15,          78,            13,    18188.8
     16,          12,            11,     8567.8
     17,          56,            15,    17742.4
     18,          73,            14,    18940.1
     19,         101,            16,    25917.1
     20,          40,            10,     9612.3
     21,           1,             1,      621.7
     22,         103,            14,    20000.1
     23,           4,             4,     2712.5
     24,          35,            23,    29180.1
     25,          11,             8,     6787.6
     26,          41,            21,    25323.9
     27,           5,             3,     1931.7
     28,         221,            24,    38376.0
     29,          71,            18,    19885.1
     30,          20,            15,    12596.9
     31,         193,            14,    23105.7
     32,         321,            13,    36265.5
     33,          47,            11,    10428.7
     34,          13,             9,     7508.2
     35,         137,            14,    17215.1
     36,          16,            11,     8975.5
     37,          72,            14,    20322.0
     38,          77,            11,    12816.8
     39,          67,            11,    11942.6
     40,          50,             7,     6393.8
     41,         108,            13,    19302.2
     42,          30,            10,    16806.7
     43,         235,            12,    23656.3
     44,         134,            20,    24169.3
     45,         560,            13,    44675.5
     46,         216,            11,    25680.5
     47,          98,            21,    33310.5
     48,          52,            17,    23361.0
     49,          20,            17,    18068.1
     50,         179,            19,    41561.7
     51,         120,            15,    30883.1
     52,          48,            24,    32599.4
     53,         266,            16,    44267.2
     54,         147,            19,    31602.1
     55,          33,            15,    29682.8
     56,          36,            26,    34235.0
     57,          90,            16,    31565.4
     58,          74,            15,    33577.1
     59,          38,            24,    36072.1
     60,          54,            19,    39516.9
     61,          64,            15,    28128.2
     62,          43,            24,    37318.3
     63,          61,            21,    31181.4
     64,          94,            23,    47143.1
     65,         332,            11,    39625.9
     66,          84,            25,    46411.8
     67,          51,            23,    38722.6
     68,          91,            17,    37238.5
     69,          48,            22,    22448.8

Total start times: 1029.
Average start times per disk: 14.700000.

Total energy consumed: 1609.891400 kJ.
Average energy consumed per second: 156.894201 J.

Average opened disks per second: 21.459507.
