disk_id,   hit_count,   start_times,     energy
      0,         158,            71,    31488.9
      1,         111,            38,    17271.5
      2,          68,            53,    21743.7
      3,          28,            22,     8997.2
      4,          76,            58,    23689.4
      5,          36,            30,    12311.6
      6,          93,            55,    23240.6
      7,          52,            43,    17339.9
      8,          70,            49,    20310.7
      9,         119,            59,    25801.2
     10,          62,            33,    14064.2
     11,          33,            22,     9017.3
     12,         136,            78,    33313.5
     13,          58,            46,    18871.8
     14,          69,            41,    17003.7
     15,          90,            43,    18556.5
     16,          33,            28,    11413.1
     17,          75,            54,    22431.0
     18,          92,            52,    22271.7
     19,         113,            65,    27704.4
     20,          55,            37,    15300.2
     21,          21,             9,     3890.4
     22,          78,            52,    21854.3
     23,          29,            19,     7796.0
     24,         113,            74,    30712.5
     25,          36,            27,    10991.7
     26,          89,            60,    25049.0
     27,          12,             8,     3276.8
     28,         108,            67,    27933.9
     29,          77,            47,    19916.0
     30,          54,            40,    16318.4
     31,          87,            52,    21733.1
     32,         130,            70,    29858.3
     33,          58,            36,    15019.1
     34,          41,            27,    11078.9
     35,          71,            37,    15765.9
     36,          46,            27,    11275.9
     37,          90,            59,    24664.7
     38,          74,            45,    18919.9
     39,          71,            44,    18158.4
     40,          35,            21,     8751.7
     41,          85,            50,    21288.8
     42,         103,            53,    23031.2
     43,          75,            42,    17706.5
     44,          79,            46,    19168.5
     45,         152,            72,    31865.3
     46,         109,            61,    25864.2
     47,         110,            64,    27260.1
     48,         104,            68,    28450.1
     49,          72,            51,    21243.0
     50,         193,            89,    40122.4
     51,         130,            83,    35323.7
     52,         116,            79,    33040.7
     53,         154,            90,    39015.6
     54,         110,            75,    31920.8
     55,         137,            84,    35352.2
     56,         107,            73,    30985.7
     57,         129,            75,    32297.3
     58,         158,            90,    38978.0
     59,         117,            84,    35070.5
     60,         173,            88,    39343.8
     61,         114,            63,    27317.3
     62,         126,            81,    34831.1
     63,         116,            78,    32891.5
     64,         112,            79,    33438.2
     65,         198,            95,    41995.4
     66,         149,            91,    39272.8
     67,         130,            77,    33489.1
     68,         139,            86,    36882.3
     69,          88,            63,    26384.4

Total start times: 3928.
Average start times per disk: 56.114286.

Total energy consumed: 1668.937500 kJ.
Average energy consumed per second: 166.693718 J.

Average opened disks per second: 11.546444.
