disk_id,   hit_count,   start_times,     energy
      0,         463,            18,    33565.3
      1,         188,            11,    15258.4
      2,          16,            15,     9151.4
      3,          11,             8,     4170.7
      4,          43,            17,    12654.7
      5,           5,             5,     2522.9
      6,         106,            15,    13626.4
      7,          14,            12,     6776.7
      8,          40,            15,    12459.1
      9,         106,            16,    19583.8
     10,          10,             8,     4296.0
     11,          12,             8,     4033.2
     12,          55,            19,    19828.3
     13,          59,            11,     8254.1
     14,          69,            15,    12935.3
     15,          63,            14,    14202.4
     16,          13,            12,     6609.2
     17,          60,            19,    14159.7
     18,          76,            15,    12772.0
     19,          49,            20,    16522.9
     20,          36,             8,     5527.8
     21,           1,             1,      463.1
     22,         108,            20,    17371.3
     23,           4,             4,     1974.4
     24,          36,            24,    20523.7
     25,          11,             8,     4780.7
     26,         122,            22,    20887.0
     27,           5,             3,     1449.8
     28,         179,            27,    26079.0
     29,          72,            20,    14720.7
     30,          19,            15,     8555.9
     31,          97,            12,    12141.3
     32,         336,            20,    30212.8
     33,          46,            10,     6885.1
     34,          10,             7,     4084.3
     35,         136,            15,    12713.3
     36,          15,            11,     6111.8
     37,          95,            16,    16070.3
     38,          77,            11,     9382.5
     39,          65,            11,     8539.3
     40,          45,             5,     3812.2
     41,         107,            13,    13444.9
     42,         157,            14,    17262.8
     43,         253,            10,    15746.7
     44,         132,            21,    17090.5
     45,         591,            17,    36098.9
     46,         332,            12,    21935.6
     47,         165,            28,    28314.6
     48,          50,            19,    15241.9
     49,          21,            20,    13229.8
     50,         126,            24,    30348.8
     51,          46,            26,    26430.6
     52,          32,            26,    20414.4
     53,         317,            21,    33304.2
     54,         136,            25,    23963.2
     55,          32,            21,    22260.9
     56,          40,            33,    26457.8
     57,          58,            21,    21565.1
     58,          68,            24,    28877.3
     59,          35,            29,    23328.7
     60,          50,            21,    25231.2
     61,          30,            21,    18912.0
     62,          44,            36,    29436.9
     63,          59,            25,    21189.1
     64,         131,            34,    34201.2
     65,         154,            19,    30920.7
     66,          87,            33,    35474.8
     67,          46,            26,    25327.5
     68,         252,            22,    31443.9
     69,          45,            20,    13669.1

Total start times: 1204.
Average start times per disk: 17.200000.

Total energy consumed: 1176.791900 kJ.
Average energy consumed per second: 115.575712 J.

Average opened disks per second: 13.975152.
