disk_id,   hit_count,   start_times,     energy
      0,         463,            17,    37149.3
      1,         189,            12,    18759.3
      2,          16,            15,    10847.2
      3,          11,             8,     4799.0
      4,          43,            15,    14320.5
      5,           6,             5,     3221.1
      6,         106,            14,    15490.2
      7,          14,            12,     7862.5
      8,          40,            14,    14719.4
      9,         106,            15,    22277.2
     10,          12,             9,     5707.4
     11,          12,             8,     4594.4
     12,          58,            18,    25401.7
     13,          60,            12,    10193.4
     14,          53,            14,    14485.9
     15,          64,            15,    17739.9
     16,          13,            12,     7646.2
     17,          60,            18,    16328.5
     18,          76,            15,    15132.7
     19,          50,            21,    20456.9
     20,          38,             9,     7061.2
     21,           1,             1,      524.1
     22,         109,            19,    20329.8
     23,           4,             4,     2261.1
     24,          37,            25,    25384.9
     25,          11,             8,     5573.7
     26,         122,            22,    24327.4
     27,           5,             3,     1638.9
     28,         179,            27,    30763.8
     29,          72,            19,    16889.5
     30,          19,            15,     9971.1
     31,          93,            11,    12859.3
     32,         326,            17,    33533.5
     33,          48,            11,     9004.1
     34,          12,             8,     5483.5
     35,         136,            14,    14302.6
     36,          15,            10,     6889.8
     37,          95,            14,    18120.4
     38,          77,            11,    10730.6
     39,          65,            11,     9814.2
     40,          45,             5,     4269.7
     41,         107,            13,    15592.1
     42,         151,            13,    18519.1
     43,         253,            10,    17674.3
     44,         132,            21,    20091.7
     45,         590,            15,    39562.2
     46,         332,            12,    24875.8
     47,         125,            23,    31263.7
     48,          50,            18,    18020.7
     49,          22,            18,    15679.2
     50,         125,            19,    33870.0
     51,          45,            23,    30317.3
     52,          32,            24,    23818.7
     53,         277,            19,    36391.0
     54,         155,            21,    26292.7
     55,          31,            17,    24808.9
     56,          39,            31,    31469.7
     57,          59,            19,    25417.5
     58,          80,            22,    34308.9
     59,          34,            27,    27145.0
     60,          50,            21,    29861.1
     61,          31,            20,    23066.1
     62,          44,            28,    32739.0
     63,          61,            24,    26810.0
     64,         131,            31,    39908.5
     65,         154,            16,    34724.8
     66,          86,            30,    40880.4
     67,          46,            24,    29469.9
     68,         322,            19,    37336.6
     69,          44,            19,    15310.5

Total start times: 1130.
Average start times per disk: 16.142857.

Total energy consumed: 1362.091300 kJ.
Average energy consumed per second: 133.355326 J.

Average opened disks per second: 17.191208.
