disk_id,   hit_count,   start_times,     energy
      0,         518,            10,    42578.3
      1,         214,            11,    27085.9
      2,          15,            14,    13592.7
      3,          11,             8,     6049.5
      4,          42,            13,    16715.5
      5,           7,             6,     4794.4
      6,         102,            13,    18260.2
      7,          14,            11,     9738.5
      8,          39,            14,    18291.2
      9,         103,            14,    27313.0
     10,          12,             9,     7342.2
     11,          14,            10,     7228.6
     12,          60,            14,    31595.2
     13,          13,            12,    10726.7
     14,          52,            12,    17124.9
     15,          78,            12,    18680.1
     16,          11,            10,     8281.6
     17,          57,            16,    19632.9
     18,          72,            13,    19697.0
     19,         102,            15,    27216.4
     20,          39,            10,     9964.3
     21,           1,             1,      652.2
     22,         102,            14,    20582.9
     23,           4,             4,     2858.9
     24,          39,            22,    32232.4
     25,          10,             7,     6330.6
     26,          65,            20,    30341.5
     27,           7,             4,     2727.0
     28,         486,            16,    48650.3
     29,          67,            16,    18996.0
     30,          25,            16,    14968.3
     31,          75,            12,    15591.2
     32,         184,            13,    32361.8
     33,          48,            11,    11431.9
     34,          11,             8,     6987.4
     35,         136,            13,    17319.3
     36,          15,            10,     8774.7
     37,          71,            13,    20285.9
     38,          76,            11,    13369.1
     39,          76,            10,    11714.9
     40,          50,             7,     6704.9
     41,         109,            13,    21226.5
     42,          29,            10,    17432.2
     43,         208,            12,    24202.7
     44,         121,            19,    23925.8
     45,         527,            11,    46193.2
     46,         187,            11,    26812.9
     47,         101,            21,    35905.3
     48,          72,            17,    26717.1
     49,          19,            16,    18642.0
     50,         299,            14,    45563.1
     51,         122,            17,    35621.8
     52,          33,            23,    32279.4
     53,         290,            14,    45598.3
     54,         160,            19,    33160.0
     55,          34,            15,    32278.1
     56,          36,            27,    38141.8
     57,          89,            14,    31483.8
     58,          85,            18,    39156.6
     59,          34,            24,    36304.9
     60,          52,            16,    38636.7
     61,          64,            14,    29241.7
     62,          45,            22,    40099.9
     63,          57,            21,    30926.2
     64,          94,            20,    49135.5
     65,         288,            12,    40823.5
     66,          85,            23,    50014.1
     67,          49,            20,    37836.3
     68,          99,            17,    39459.7
     69,          48,            18,    22150.9

Total start times: 973.
Average start times per disk: 13.900000.

Total energy consumed: 1673.760300 kJ.
Average energy consumed per second: 163.229988 J.

Average opened disks per second: 22.711040.
