FILENAME       TYPE            RA       DEC      exptime DATE	
b160320.000057.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:04:43	
b160320.000058.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:04:55	
b160320.000059.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:05:05	
b160320.000060.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:05:25	
b160320.000061.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:05:36	
b160320.000062.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:05:46	
b160320.000063.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:06:10	
b160320.000064.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:06:21	
b160320.000065.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:06:32	
b160320.000066.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:09:46	
b160320.000067.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:09:56	
b160320.000068.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:10:07	
b160320.000069.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:10:27	
b160320.000070.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:10:37	
b160320.000071.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:10:46	
b160320.000072.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:11:05	
b160320.000073.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:11:17	
b160320.000074.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:11:27	
b160320.000075.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:11:45	
b160320.000076.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:11:57	
b160320.000077.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:12:07	
b160320.000078.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:12:27	
b160320.000079.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:12:38	
b160320.000080.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:12:48	
b160320.000081.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:13:08	
b160320.000082.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:13:19	
b160320.000083.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:13:29	
b160320.000084.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:13:49	
b160320.000085.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:13:59	
b160320.000086.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:14:10	
b160320.000087.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:14:31	
b160320.000088.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:14:40	
b160320.000089.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:14:51	
b160320.000090.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:15:11	
b160320.000091.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:15:21	
b160320.000092.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:15:32	
b160320.000093.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:15:52	
b160320.000094.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:16:02	
b160320.000095.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:16:12	
b160320.000096.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:16:33	
b160320.000097.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:16:43	
b160320.000098.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:16:53	
b160320.000099.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:19:50	
b160320.000100.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:20:09	
b160320.000101.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:20:32	
b160320.000102.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:20:55	
b160320.000103.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:21:17	
b160320.000104.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:21:37	
b160320.000105.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:21:58	
b160320.000106.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:22:18	
b160320.000107.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:22:39	
b160320.000108.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:22:59	
b160320.000109.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:23:21	
b160320.000110.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:27:49	
b160320.000111.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:28:09	
b160320.000112.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:28:30	
b160320.000113.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:28:51	
b160320.000114.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:29:12	
b160320.000115.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:29:33	
b160320.000116.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:29:54	
b160320.000117.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:30:15	
b160320.000118.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T02:30:37	
b160320.000119.fits            test1   93.0000 -76.0000   10.00 2016-03-21T03:22:36	
b160320.000120.fits            test1   93.0000 -76.0000   15.00 2016-03-21T04:00:23	
b160320.000121.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:06:16	
b160320.000122.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:06:29	
