FILENAME       TYPE            RA       DEC      exptime DATE	
b160427.000077.fits           survey   25.3231 -50.7687   60.00 2016-04-27T19:45:28	
b160427.000078.fits           survey   23.0791 -50.7687   60.00 2016-04-27T19:47:03	
b160427.000079.fits           survey   20.8352 -50.7687   60.00 2016-04-27T19:48:53	
b160427.000080.fits           survey   18.5912 -50.7687   60.00 2016-04-27T19:50:28	
b160427.000081.fits           survey   16.3472 -50.7687   60.00 2016-04-27T19:52:03	
b160427.000082.fits           survey   14.1033 -50.7687   60.00 2016-04-27T19:53:43	
b160427.000032.fits             FLAT  177.5118 -78.0870   62.55 2016-04-27T18:24:48	
b160427.000033.fits             FLAT  177.5378 -78.0217   66.61 2016-04-27T18:26:23	
b160427.000034.fits             FLAT  177.5667 -77.9546   71.08 2016-04-27T18:28:04	
b160427.000035.fits             FLAT  177.5991 -77.8843   76.12 2016-04-27T18:29:49	
b160427.000083.fits           survey   11.8593 -50.7687   60.00 2016-04-27T19:55:23	
b160427.000084.fits           survey    9.6153 -50.7687   60.00 2016-04-27T19:57:13	
b160427.000085.fits           survey    7.3714 -50.7687   60.00 2016-04-27T19:58:53	
b160427.000086.fits           survey    5.1274 -50.7687   60.00 2016-04-27T20:00:28	
b160427.000087.fits           survey    2.8834 -50.7687   60.00 2016-04-27T20:02:03	
b160427.000088.fits           survey    0.6395 -50.7687   60.00 2016-04-27T20:03:44	
b160427.000089.fits           survey  358.3955 -50.7687   60.00 2016-04-27T20:05:23	
b160427.000090.fits           survey  356.1515 -50.7687   60.00 2016-04-27T20:07:05	
b160427.000091.fits           survey  353.9076 -50.7687   60.00 2016-04-27T20:08:43	
b160427.000092.fits           survey  351.6636 -50.7687   60.00 2016-04-27T20:10:18	
b160427.000093.fits           survey  349.4196 -50.7687   60.00 2016-04-27T20:12:08	
b160427.000094.fits           survey  347.1756 -50.7687   60.00 2016-04-27T20:13:43	
b160427.000095.fits           survey  344.9317 -50.7687   60.00 2016-04-27T20:15:19	
b160427.000096.fits           survey  342.6877 -50.7687   60.00 2016-04-27T20:16:53	
b160427.000097.fits           survey  340.4437 -50.7687   60.00 2016-04-27T20:18:33	
b160427.000098.fits           survey  338.1998 -50.7687   60.00 2016-04-27T20:20:08	
b160427.000099.fits           survey  335.9558 -50.7687   60.00 2016-04-27T20:21:44	
b160427.000100.fits           survey  333.7118 -50.7687   60.00 2016-04-27T20:23:23	
b160427.000101.fits           survey  331.4679 -50.7687   60.00 2016-04-27T20:25:03	
b160427.000102.fits           survey  329.2239 -50.7687   60.00 2016-04-27T20:26:48	
b160427.000103.fits           survey  326.9799 -50.7687   60.00 2016-04-27T20:28:38	
b160427.000104.fits           survey  324.7360 -50.7687   60.00 2016-04-27T20:30:18	
b160427.000105.fits           survey  322.4920 -50.7687   60.00 2016-04-27T20:31:53	
b160427.000106.fits           survey  320.2480 -50.7687   60.00 2016-04-27T20:33:33	
b160427.000107.fits           survey  318.0041 -50.7687   60.00 2016-04-27T20:35:13	
b160427.000108.fits           survey  315.7601 -50.7687   60.00 2016-04-27T20:36:48	
b160427.000109.fits           survey  313.5161 -50.7687   60.00 2016-04-27T20:38:24	
b160427.000110.fits           survey  342.2331 -47.8385   60.00 2016-04-27T20:40:55	
b160427.000111.fits           survey  344.3538 -47.8385   60.00 2016-04-27T20:42:33	
b160427.000112.fits           survey  346.4745 -47.8385   60.00 2016-04-27T20:44:13	
b160427.000113.fits           survey  348.5952 -47.8385   60.00 2016-04-27T20:45:48	
b160427.000114.fits           survey  350.7159 -47.8385   60.00 2016-04-27T20:47:23	
b160427.000115.fits           survey  352.8365 -47.8385   60.00 2016-04-27T20:49:03	
b160427.000116.fits           survey  354.9572 -47.8385   60.00 2016-04-27T20:50:48	
b160427.000117.fits           survey  357.0779 -47.8385   60.00 2016-04-27T20:52:43	
b160427.000118.fits           survey  359.1986 -47.8385   60.00 2016-04-27T20:54:18	
b160427.000119.fits           survey    1.3193 -47.8385   60.00 2016-04-27T20:55:53	
b160427.000120.fits           survey    3.4400 -47.8385   60.00 2016-04-27T20:57:28	
b160427.000121.fits           survey    5.5607 -47.8385   60.00 2016-04-27T20:59:08	
b160427.000122.fits           survey    7.6814 -47.8385   60.00 2016-04-27T21:00:43	
b160427.000123.fits           survey    9.8021 -47.8385   60.00 2016-04-27T21:02:24	
b160427.000124.fits           survey   11.9228 -47.8385   60.00 2016-04-27T21:03:58	
b160427.000125.fits           survey   14.0435 -47.8385   60.00 2016-04-27T21:05:33	
b160427.000126.fits           survey   16.1642 -47.8385   60.00 2016-04-27T21:07:09	
b160427.000127.fits           survey   18.2849 -47.8385   60.00 2016-04-27T21:08:48	
b160427.000128.fits           survey   20.4056 -47.8385   60.00 2016-04-27T21:10:23	
b160427.000129.fits           survey   22.5263 -47.8385   60.00 2016-04-27T21:11:58	
b160427.000130.fits           survey   24.6470 -47.8385   60.00 2016-04-27T21:13:34	
b160427.000131.fits           survey   26.7676 -47.8385   60.00 2016-04-27T21:15:08	
b160427.000132.fits           survey   28.8883 -47.8385   60.00 2016-04-27T21:16:43	
b160427.000133.fits           survey   31.0090 -47.8385   60.00 2016-04-27T21:18:23	
b160427.000134.fits           survey   33.1297 -47.8385   60.00 2016-04-27T21:19:58	
b160427.000135.fits           survey   35.2504 -47.8385   60.00 2016-04-27T21:21:33	
b160427.000136.fits           survey   37.3711 -47.8385   60.00 2016-04-27T21:23:08	
b160427.000137.fits           survey   39.4918 -47.8385   60.00 2016-04-27T21:24:44	
b160427.000138.fits           survey   41.6125 -47.8385   60.00 2016-04-27T21:26:23	
b160427.000139.fits           survey   43.7332 -47.8385   60.00 2016-04-27T21:27:58	
b160427.000140.fits           survey   45.8539 -47.8385   60.00 2016-04-27T21:29:38	
b160427.000141.fits           survey   47.9746 -47.8385   60.00 2016-04-27T21:31:23	
b160427.000142.fits           survey   50.0953 -47.8385   60.00 2016-04-27T21:32:59	
b160427.000143.fits           survey   52.2160 -47.8385   60.00 2016-04-27T21:34:38	
b160427.000144.fits           survey   54.3367 -47.8385   60.00 2016-04-27T21:36:13	
b160427.000145.fits           survey   56.4574 -47.8385   60.00 2016-04-27T21:37:50	
b160427.000146.fits           survey   58.5781 -47.8385   60.00 2016-04-27T21:39:24	
b160427.000147.fits           survey   60.6987 -47.8385   60.00 2016-04-27T21:41:03	
b160427.000148.fits           survey   62.8194 -47.8385   60.00 2016-04-27T21:42:38	
b160427.000149.fits           survey   64.9401 -47.8385   60.00 2016-04-27T21:44:23	
b160427.000150.fits           survey   67.0608 -47.8385   60.00 2016-04-27T21:45:58	
b160427.000151.fits           survey   69.1815 -47.8385   60.00 2016-04-27T21:47:33	
b160427.000152.fits           survey   71.3022 -47.8385   60.00 2016-04-27T21:49:08	
b160427.000153.fits           survey   73.4229 -47.8385   60.00 2016-04-27T21:50:43	
b160427.000154.fits           survey   75.5436 -47.8385   60.00 2016-04-27T21:52:18	
b160427.000155.fits           survey   77.6643 -47.8385   60.00 2016-04-27T21:53:53	
