FILENAME       TYPE            RA       DEC      exptime DATE	
b160427.000328.fits           survey  269.9731 -59.5594   60.00 2016-04-28T04:13:23	
b160427.000329.fits           survey  272.7415 -59.5594   60.00 2016-04-28T04:15:03	
b160427.000330.fits           survey  275.5099 -59.5594   60.00 2016-04-28T04:16:47	
b160427.000331.fits           survey  278.2783 -59.5594   60.00 2016-04-28T04:18:28	
b160427.000332.fits           survey  281.0467 -59.5594   60.00 2016-04-28T04:20:07	
b160427.000333.fits           survey  283.8151 -59.5594   60.00 2016-04-28T04:21:48	
b160427.000334.fits           survey  286.5835 -59.5594   60.00 2016-04-28T04:23:28	
b160427.000335.fits           survey  289.3519 -59.5594   60.00 2016-04-28T04:25:08	
b160427.000336.fits           survey  292.1203 -59.5594   60.00 2016-04-28T04:26:58	
b160427.000337.fits           survey  294.8887 -59.5594   60.00 2016-04-28T04:28:43	
b160427.000338.fits           survey  297.6571 -59.5594   60.00 2016-04-28T04:30:27	
b160427.000339.fits           survey  300.4256 -59.5594   60.00 2016-04-28T04:32:08	
b160427.000340.fits           survey  303.1940 -59.5594   60.00 2016-04-28T04:33:48	
b160427.000341.fits           survey  305.9624 -59.5594   60.00 2016-04-28T04:35:32	
b160427.000342.fits           survey  308.7308 -59.5594   60.00 2016-04-28T04:37:13	
b160427.000343.fits           survey  311.4992 -59.5594   60.00 2016-04-28T04:38:53	
b160427.000344.fits           survey  314.2676 -59.5594   60.00 2016-04-28T04:40:34	
b160427.000345.fits           survey  317.0360 -59.5594   60.00 2016-04-28T04:42:14	
b160427.000346.fits           survey  319.8044 -59.5594   60.00 2016-04-28T04:43:57	
b160427.000347.fits           survey  322.5728 -59.5594   60.00 2016-04-28T04:45:38	
b160427.000348.fits           survey  325.3412 -59.5594   60.00 2016-04-28T04:47:22	
b160427.000349.fits           survey  328.1096 -59.5594   60.00 2016-04-28T04:49:07	
b160427.000350.fits           survey  336.4148 -59.5594   60.00 2016-04-28T07:49:04	
b160427.000351.fits           survey  339.1832 -59.5594   60.00 2016-04-28T07:50:44	
b160427.000352.fits           survey  341.9516 -59.5594   60.00 2016-04-28T07:52:23	
b160427.000353.fits           survey  344.7200 -59.5594   60.00 2016-04-28T07:54:03	
b160427.000354.fits           survey  347.4884 -59.5594   60.00 2016-04-28T07:55:45	
b160427.000355.fits           survey  350.2568 -59.5594   60.00 2016-04-28T07:57:23	
b160427.000356.fits           survey  353.0252 -59.5594   60.00 2016-04-28T07:59:10	
b160427.000357.fits           survey  355.7936 -59.5594   60.00 2016-04-28T08:00:53	
b160427.000358.fits           survey  358.5620 -59.5594   60.00 2016-04-28T08:02:38	
b160427.000359.fits           survey    1.3304 -59.5594   60.00 2016-04-28T08:04:18	
b160427.000360.fits           survey    4.0988 -59.5594   60.00 2016-04-28T08:06:00	
b160427.000361.fits           survey    6.8672 -59.5594   60.00 2016-04-28T08:07:44	
b160427.000362.fits           survey    9.6356 -59.5594   60.00 2016-04-28T08:09:24	
b160427.000363.fits           survey   12.4040 -59.5594   60.00 2016-04-28T08:11:07	
b160427.000364.fits           survey   15.1724 -59.5594   60.00 2016-04-28T08:12:53	
b160427.000365.fits           survey   17.9409 -59.5594   60.00 2016-04-28T08:14:38	
b160427.000366.fits           survey   20.7093 -59.5594   60.00 2016-04-28T08:16:18	
b160427.000367.fits           survey   23.4777 -59.5594   60.00 2016-04-28T08:17:58	
b160427.000368.fits           survey   26.2461 -59.5594   60.00 2016-04-28T08:19:40	
b160427.000369.fits           survey   29.0145 -59.5594   60.00 2016-04-28T08:21:28	
b160427.000370.fits           survey   31.7829 -59.5594   60.00 2016-04-28T08:23:07	
b160427.000371.fits           survey   34.5513 -59.5594   60.00 2016-04-28T08:24:50	
b160427.000372.fits           survey   37.3197 -59.5594   60.00 2016-04-28T08:26:33	
b160427.000373.fits           survey   40.0881 -59.5594   60.00 2016-04-28T08:28:19	
b160427.000374.fits           survey   42.8565 -59.5594   60.00 2016-04-28T08:29:58	
b160427.000375.fits           survey   45.6249 -59.5594   60.00 2016-04-28T08:31:38	
b160427.000376.fits           survey   48.3933 -59.5594   60.00 2016-04-28T08:33:23	
b160427.000377.fits           survey   51.1617 -59.5594   60.00 2016-04-28T08:35:09	
b160427.000378.fits           survey  110.7241 -56.6292   60.00 2016-04-28T08:38:43	
b160427.000379.fits           survey  108.1627 -56.6292   60.00 2016-04-28T08:40:30	
b160427.000380.fits           survey  105.6012 -56.6292   60.00 2016-04-28T08:42:03	
b160427.000381.fits           survey  103.0398 -56.6292   60.00 2016-04-28T08:43:38	
b160427.000382.fits           survey  100.4783 -56.6292   60.00 2016-04-28T08:45:17	
b160427.000383.fits           survey   97.9169 -56.6292   60.00 2016-04-28T08:46:53	
b160427.000384.fits           survey   95.3555 -56.6292   60.00 2016-04-28T08:48:38	
b160427.000385.fits           survey   92.7940 -56.6292   60.00 2016-04-28T08:50:23	
b160427.000386.fits           survey   90.2326 -56.6292   60.00 2016-04-28T08:52:08	
b160427.000387.fits           survey   87.6711 -56.6292   60.00 2016-04-28T08:53:49	
b160427.000388.fits           survey   85.1097 -56.6292   60.00 2016-04-28T08:55:23	
b160427.000389.fits           survey   82.5482 -56.6292   60.00 2016-04-28T08:56:58	
b160427.000390.fits           survey   79.9868 -56.6292   60.00 2016-04-28T08:58:33	
b160427.000391.fits           survey   77.4253 -56.6292   60.00 2016-04-28T09:00:13	
b160427.000392.fits           survey   74.8639 -56.6292   60.00 2016-04-28T09:01:48	
b160427.000393.fits           survey   72.3024 -56.6292   60.00 2016-04-28T09:03:25	
b160427.000394.fits           survey   69.7410 -56.6292   60.00 2016-04-28T09:04:58	
b160427.000395.fits           survey   67.1795 -56.6292   60.00 2016-04-28T09:06:38	
b160427.000396.fits           survey   64.6181 -56.6292   60.00 2016-04-28T09:08:18	
b160427.000397.fits           survey   62.0567 -56.6292   60.00 2016-04-28T09:10:03	
b160427.000398.fits           survey   59.4952 -56.6292   60.00 2016-04-28T09:11:42	
b160427.000399.fits           survey   56.9338 -56.6292   60.00 2016-04-28T09:13:18	
b160427.000400.fits           survey   54.3723 -56.6292   60.00 2016-04-28T09:14:53	
b160427.000401.fits           survey   51.8109 -56.6292   60.00 2016-04-28T09:16:28	
b160427.000402.fits           survey   49.2494 -56.6292   60.00 2016-04-28T09:18:14	
b160427.000403.fits           survey   46.6880 -56.6292   60.00 2016-04-28T09:19:53	
b160427.000404.fits           survey   44.1265 -56.6292   60.00 2016-04-28T09:21:33	
b160427.000405.fits           survey   41.5651 -56.6292   60.00 2016-04-28T09:23:08	
b160427.000406.fits           survey   39.0036 -56.6292   60.00 2016-04-28T09:24:47	
b160427.000407.fits           survey   36.4422 -56.6292   60.00 2016-04-28T09:26:20	
b160427.000408.fits           survey   33.8807 -56.6292   60.00 2016-04-28T09:27:59	
b160427.000409.fits           survey   31.3193 -56.6292   60.00 2016-04-28T09:29:38	
b160427.000410.fits           survey   28.7579 -56.6292   60.00 2016-04-28T09:31:18	
b160427.000411.fits           survey   26.1964 -56.6292   60.00 2016-04-28T09:32:58	
b160427.000412.fits           survey   23.6350 -56.6292   60.00 2016-04-28T09:34:34	
b160427.000413.fits           survey   21.0735 -56.6292   60.00 2016-04-28T09:36:08	
b160427.000414.fits           survey   18.5121 -56.6292   60.00 2016-04-28T09:37:49	
b160427.000415.fits           survey   15.9506 -56.6292   60.00 2016-04-28T09:39:28	
b160427.000416.fits           survey   13.3892 -56.6292   60.00 2016-04-28T09:41:08	
b160427.000417.fits           survey   10.8277 -56.6292   60.00 2016-04-28T09:42:47	
b160427.000418.fits           survey    8.2663 -56.6292   60.00 2016-04-28T09:44:23	
b160427.000419.fits           survey    5.7048 -56.6292   60.00 2016-04-28T09:46:03	
b160427.000420.fits           survey    3.1434 -56.6292   60.00 2016-04-28T09:47:38	
b160427.000421.fits           survey    0.5819 -56.6292   60.00 2016-04-28T09:49:13	
b160427.000422.fits           survey  358.0205 -56.6292   60.00 2016-04-28T09:50:53	
b160427.000423.fits           survey  355.4591 -56.6292   60.00 2016-04-28T09:52:33	
b160427.000424.fits           survey  352.8976 -56.6292   60.00 2016-04-28T09:54:08	
b160427.000425.fits           survey  350.3362 -56.6292   60.00 2016-04-28T09:55:48	
b160427.000426.fits           survey  347.7747 -56.6292   60.00 2016-04-28T09:57:28	
b160427.000427.fits           survey  345.2133 -56.6292   60.00 2016-04-28T09:59:13	
b160427.000428.fits           survey  342.6518 -56.6292   60.00 2016-04-28T10:00:53	
b160427.000429.fits           survey  340.0904 -56.6292   60.00 2016-04-28T10:02:37	
b160427.000430.fits           survey  337.5289 -56.6292   60.00 2016-04-28T10:04:12	
b160427.000431.fits           survey  334.9675 -56.6292   60.00 2016-04-28T10:05:48	
b160427.000432.fits           survey  332.4060 -56.6292   60.00 2016-04-28T10:07:27	
b160427.000433.fits           survey  329.8446 -56.6292   60.00 2016-04-28T10:09:10	
b160427.000434.fits           survey  327.2831 -56.6292   60.00 2016-04-28T10:10:52	
b160427.000435.fits           survey  324.7217 -56.6292   60.00 2016-04-28T10:12:38	
b160427.000436.fits           survey  322.1603 -56.6292   60.00 2016-04-28T10:14:14	
b160427.000437.fits           survey  319.5988 -56.6292   60.00 2016-04-28T10:15:58	
b160427.000438.fits           survey  317.0374 -56.6292   60.00 2016-04-28T10:17:39	
b160427.000439.fits           survey  314.4759 -56.6292   60.00 2016-04-28T10:19:23	
b160427.000440.fits           survey  311.9145 -56.6292   60.00 2016-04-28T10:21:07	
b160427.000441.fits           survey  309.3530 -56.6292   60.00 2016-04-28T10:22:48	
b160427.000442.fits           survey  306.7916 -56.6292   60.00 2016-04-28T10:24:23	
b160427.000443.fits           survey  304.2301 -56.6292   60.00 2016-04-28T10:26:03	
b160427.000444.fits           survey  301.6687 -56.6292   60.00 2016-04-28T10:27:38	
b160427.000445.fits           survey  299.1072 -56.6292   60.00 2016-04-28T10:29:22	
b160427.000446.fits           survey  296.5458 -56.6292   60.00 2016-04-28T10:31:03	
b160427.000447.fits           survey  293.9844 -56.6292   60.00 2016-04-28T10:32:39	
b160427.000448.fits           survey  291.4229 -56.6292   60.00 2016-04-28T10:34:22	
b160427.000449.fits           survey  288.8615 -56.6292   60.00 2016-04-28T10:35:58	
b160427.000450.fits           survey  286.3000 -56.6292   60.00 2016-04-28T10:37:33	
b160427.000451.fits           survey  283.7386 -56.6292   60.00 2016-04-28T10:39:08	
b160427.000452.fits           survey  281.1771 -56.6292   60.00 2016-04-28T10:40:48	
b160427.000453.fits           survey  278.6157 -56.6292   60.00 2016-04-28T10:42:27	
b160427.000454.fits           survey  276.0542 -56.6292   60.00 2016-04-28T10:44:17	
b160427.000455.fits           survey  273.4928 -56.6292   60.00 2016-04-28T10:45:53	
b160427.000456.fits           survey  270.9313 -56.6292   60.00 2016-04-28T10:47:28	
b160427.000457.fits           survey  276.7582 -53.6989   60.00 2016-04-28T10:49:23	
b160427.000458.fits           survey  279.1473 -53.6989   60.00 2016-04-28T10:50:58	
b160427.000459.fits           survey  281.5364 -53.6989   60.00 2016-04-28T10:52:37	
b160427.000460.fits           survey  283.9255 -53.6989   60.00 2016-04-28T10:54:18	
b160427.000461.fits           survey  286.3146 -53.6989   60.00 2016-04-28T10:56:02	
b160427.000462.fits           survey  288.7037 -53.6989   60.00 2016-04-28T10:57:37	
b160427.000463.fits           FF100S  252.4202 -77.5504  100.00 2016-04-28T11:00:17	
b160427.000464.fits           FF100S  252.4998 -77.6852  100.00 2016-04-28T11:02:37	
b160427.000465.fits           FF100S  252.5509 -77.7795  100.00 2016-04-28T11:04:57	
b160427.000466.fits           FF100S  252.5980 -77.8737  100.00 2016-04-28T11:07:13	
b160427.000467.fits             FLAT  252.6401 -77.9653   97.77 2016-04-28T11:09:28	
b160427.000468.fits             FLAT  252.6775 -78.0547   89.73 2016-04-28T11:11:40	
b160427.000469.fits             FLAT  252.7088 -78.1373   82.94 2016-04-28T11:13:44	
b160427.000470.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:33:44	
b160427.000471.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:33:47	
b160427.000472.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:33:51	
b160427.000473.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:34:27	
b160427.000474.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:34:31	
b160427.000475.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:34:34	
b160427.000476.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:45:07	
b160427.000477.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:45:10	
b160427.000478.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:45:14	
b160427.000479.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T13:45:52	
b160427.000480.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T13:45:55	
b160427.000481.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T13:45:59	
b160427.000482.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T13:46:44	
b160427.000483.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T13:46:48	
b160427.000484.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T13:46:51	
b160427.000485.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T13:47:37	
b160427.000486.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T13:47:41	
b160427.000487.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T13:47:44	
b160427.000488.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T13:48:22	
b160427.000489.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T13:48:26	
b160427.000490.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T13:48:29	
b160427.000491.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T13:49:08	
b160427.000492.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T13:49:11	
b160427.000493.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T13:49:14	
b160427.000494.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:49:57	
b160427.000495.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:50:00	
b160427.000496.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:50:03	
b160427.000497.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:56:38	
b160427.000498.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:56:41	
b160427.000499.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T13:56:44	
b160427.000500.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:57:22	
b160427.000501.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:57:25	
b160427.000502.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T13:57:28	
b160427.000503.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T13:58:13	
b160427.000504.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T13:58:16	
b160427.000505.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T13:58:19	
b160427.000506.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T13:59:05	
b160427.000507.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T13:59:08	
b160427.000508.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T13:59:11	
b160427.000509.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T13:59:58	
b160427.000510.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T14:00:01	
b160427.000511.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T14:00:04	
b160427.000512.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:00:44	
b160427.000513.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:00:47	
b160427.000514.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:00:51	
b160427.000515.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:05:17	
b160427.000516.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:05:20	
b160427.000517.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:05:24	
b160427.000518.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T14:06:00	
b160427.000519.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T14:06:03	
b160427.000520.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T14:06:06	
b160427.000521.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T14:06:43	
b160427.000522.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T14:06:47	
b160427.000548.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T14:14:38	
b160427.000549.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T14:14:41	
b160427.000550.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T14:14:44	
b160427.000551.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T14:15:33	
b160427.000552.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T14:15:36	
b160427.000553.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T14:15:39	
b160427.000523.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T14:06:50	
b160427.000524.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T14:07:42	
b160427.000525.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T14:07:46	
b160427.000526.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T14:07:49	
b160427.000527.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T14:08:27	
b160427.000528.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T14:08:30	
b160427.000529.fits            tess7  115.5000 -76.0000    0.10 2016-04-28T14:08:33	
b160427.000530.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T14:09:22	
b160427.000531.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T14:09:25	
b160427.000532.fits            tess1  109.5000 -73.0000    0.10 2016-04-28T14:09:29	
b160427.000533.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T14:10:17	
b160427.000534.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T14:10:21	
b160427.000535.fits            tess2  110.5000 -72.0000    0.10 2016-04-28T14:10:24	
b160427.000536.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:11:03	
b160427.000537.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:11:06	
b160427.000538.fits            tess3  111.5000 -71.0000    0.10 2016-04-28T14:11:09	
b160427.000539.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T14:11:48	
b160427.000540.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T14:11:51	
b160427.000541.fits            tess4  112.5000 -70.0000    0.10 2016-04-28T14:11:55	
b160427.000542.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T14:12:33	
b160427.000543.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T14:12:36	
b160427.000544.fits            tess5  113.5000 -74.0000    0.10 2016-04-28T14:12:39	
b160427.000545.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T14:13:37	
b160427.000546.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T14:13:41	
b160427.000547.fits            tess6  114.5000 -75.0000    0.10 2016-04-28T14:13:44	
