FILENAME       TYPE            RA       DEC      exptime DATE	
b160316.000025.fits         TPoint11   40.0000 -70.0000   10.00 2016-03-17T03:41:08	
b160317.000001.fits       Test0317-1  186.6400 -63.0000   10.00 2016-03-18T01:18:31	
b160317.000002.fits         TPoint10  240.0000 -70.0000   10.00 2016-03-18T01:30:41	
b160317.000003.fits         TPoint11  200.0000 -70.0000   10.00 2016-03-18T01:32:01	
b160317.000004.fits         TPoint12  160.0000 -70.0000   10.00 2016-03-18T01:33:26	
b160317.000005.fits         TPoint13  120.0000 -70.0000   10.00 2016-03-18T01:34:46	
b160317.000006.fits         TPoint14   80.0000 -70.0000   10.00 2016-03-18T01:36:12	
b160317.000007.fits         TPoint15   40.0000 -70.0000   10.00 2016-03-18T01:37:32	
b160317.000008.fits         TPoint16    0.0000 -70.0000   10.00 2016-03-18T01:38:57	
b160317.000009.fits         TPoint17  320.0000 -70.0000   10.00 2016-03-18T01:44:59	
b160317.000010.fits         TPoint18  280.0000 -70.0000   10.00 2016-03-18T01:46:18	
b160317.000011.fits         TPoint19  280.0000 -80.0000   10.00 2016-03-18T01:47:18	
b160317.000012.fits         TPoint20  240.0000 -80.0000   10.00 2016-03-18T01:48:40	
b160317.000013.fits         TPoint21  200.0000 -80.0000   10.00 2016-03-18T01:50:01	
b160317.000014.fits         TPoint22  160.0000 -80.0000   10.00 2016-03-18T01:51:22	
b160317.000015.fits         TPoint23  120.0000 -80.0000   10.00 2016-03-18T01:52:43	
b160317.000016.fits         TPoint24   80.0000 -80.0000   10.00 2016-03-18T01:54:06	
b160317.000017.fits         TPoint25   40.0000 -80.0000   10.00 2016-03-18T01:55:21	
b160317.000018.fits         TPoint26    0.0000 -80.0000   10.00 2016-03-18T01:56:41	
b160317.000019.fits         TPoint27  320.0000 -80.0000   10.00 2016-03-18T02:02:41	
b160317.000020.fits         TPoint10  240.0000 -70.0000   10.00 2016-03-18T02:56:51	
b160317.000021.fits         TPoint11  200.0000 -70.0000   10.00 2016-03-18T02:58:11	
b160317.000022.fits         TPoint12  160.0000 -70.0000   10.00 2016-03-18T02:59:33	
b160317.000023.fits         TPoint13  120.0000 -70.0000   10.00 2016-03-18T03:00:53	
b160317.000024.fits         TPoint14   80.0000 -70.0000   10.00 2016-03-18T03:02:11	
b160317.000025.fits         TPoint15   40.0000 -70.0000   10.00 2016-03-18T03:03:26	
b160317.000026.fits         TPoint16   20.0000 -70.0000   10.00 2016-03-18T03:04:26	
b160317.000027.fits         TPoint17  320.0000 -70.0000   10.00 2016-03-18T03:10:07	
b160317.000028.fits         TPoint18  280.0000 -70.0000   10.00 2016-03-18T03:11:26	
b160317.000029.fits         TPoint19  280.0000 -80.0000   10.00 2016-03-18T03:12:26	
b160317.000030.fits         TPoint20  240.0000 -80.0000   10.00 2016-03-18T03:13:46	
b160317.000031.fits         TPoint21  200.0000 -80.0000   10.00 2016-03-18T03:15:07	
b160317.000032.fits         TPoint22  160.0000 -80.0000   10.00 2016-03-18T03:16:26	
b160317.000033.fits         TPoint23  120.0000 -80.0000   10.00 2016-03-18T03:17:46	
b160317.000034.fits         TPoint24   80.0000 -80.0000   10.00 2016-03-18T03:19:06	
b160317.000035.fits         TPoint10  240.0000 -70.0000   10.00 2016-03-18T03:31:26	
b160317.000036.fits         TPoint11  170.0000 -70.0000   10.00 2016-03-18T03:33:11	
b160317.000037.fits         TPoint12  100.0000 -70.0000   10.00 2016-03-18T03:35:01	
b160317.000038.fits         TPoint13   30.0000 -70.0000   10.00 2016-03-18T03:36:56	
b160317.000039.fits         TPoint14  320.0000 -70.0000   10.00 2016-03-18T03:42:22	
b160317.000040.fits         TPoint19  320.0000 -80.0000   10.00 2016-03-18T03:43:21	
b160317.000041.fits         TPoint20  250.0000 -80.0000   10.00 2016-03-18T03:45:11	
b160317.000042.fits         TPoint21  180.0000 -80.0000   10.00 2016-03-18T03:46:56	
b160317.000043.fits         TPoint22  110.0000 -80.0000   10.00 2016-03-18T03:48:41	
b160317.000044.fits         TPoint23   30.0000 -80.0000   10.00 2016-03-18T03:50:47	
b160317.000045.fits         TPoint27   30.0000 -60.0000   10.00 2016-03-18T03:51:46	
b160317.000046.fits         TPoint18  320.0000 -60.0000   10.00 2016-03-18T03:57:16	
