FILENAME       TYPE            RA       DEC      exptime DATE	
b160320.000370.fits       303.716800  -84.6349  +4.7600    0.00 2016-03-22T08:00:00	
b160320.000371.fits       303.716800  -84.6349  +4.7600    0.00 2016-03-22T08:00:00	
b160320.000372.fits       303.716800  -84.6349  +4.7600    0.00 2016-03-22T08:00:00	
b160320.000373.fits       305.501500  -84.6370  +6.6100    0.00 2016-03-22T08:00:00	
b160320.000374.fits       305.501500  -84.6370  +6.6100    0.00 2016-03-22T08:00:00	
b160320.000375.fits       305.501500  -84.6370  +6.6100    0.00 2016-03-22T08:00:00	
b160320.000376.fits       307.072800  -84.6389  +8.6600    0.00 2016-03-22T08:00:00	
b160320.000377.fits       307.072800  -84.6389  +8.6600    0.00 2016-03-22T08:00:00	
b160320.000378.fits       307.072800  -84.6389  +8.6600    0.00 2016-03-22T08:00:00	
b160320.000379.fits       308.686700  -84.6407 +11.2900    0.00 2016-03-22T08:00:00	
b160320.000380.fits       308.686700  -84.6407 +11.2900    0.00 2016-03-22T08:00:00	
b160320.000381.fits       308.686700  -84.6407 +11.2900    0.00 2016-03-22T08:00:00	
b160320.000382.fits       310.318800  -84.6425 +14.5800    0.00 2016-03-22T08:00:00	
b160320.000383.fits       310.318800  -84.6425 +14.5800    0.00 2016-03-22T08:00:00	
b160320.000384.fits       310.318800  -84.6425 +14.5800    0.00 2016-03-22T08:00:00	
b160320.000385.fits       311.983700  -84.6443 +18.7400    0.00 2016-03-22T08:00:00	
b160320.000386.fits       311.983700  -84.6443 +18.7400    0.00 2016-03-22T08:00:00	
b160320.000387.fits       311.983700  -84.6443 +18.7400    0.00 2016-03-22T08:00:00	
b160320.000388.fits       313.710300  -84.6462 +24.0700    0.00 2016-03-22T08:00:00	
b160320.000389.fits       315.279600  -84.6477 +29.9700    0.00 2016-03-22T08:00:00	
b160320.000390.fits       316.857500  -84.6493 +37.0800    0.00 2016-03-22T08:00:00	
b160320.000391.fits       318.466800  -84.6508 +45.7400    0.00 2016-03-22T08:00:00	
b160320.000392.fits       320.113400  -84.6523 +56.2600    0.00 2016-03-22T08:00:00	
b160320.000393.fits       321.816600  -84.6538 +69.1400    0.00 2016-03-22T08:00:00	
b160320.000394.fits       323.566600  -84.6553 +84.6800    0.00 2016-03-22T08:00:00	
b160320.000395.fits       325.385400  -84.6567 +100.0000    0.00 2016-03-22T08:00:00	
b160320.000396.fits       327.268600  -84.6581 +100.0000    0.00 2016-03-22T08:00:00	
b160320.000397.fits       329.155300  -84.6594 +100.0000    0.00 2016-03-22T08:00:00	
b160320.000398.fits       331.046300  -84.6607 +100.0000    0.00 2016-03-22T08:00:00	
b160320.000399.fits       353.209200  -53.6989 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000400.fits       353.209200  -53.6989 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000401.fits       353.209200  -53.6989 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000402.fits       350.820100  -53.6989 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000403.fits       350.820100  -53.6989 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000404.fits       350.820100  -53.6989 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000405.fits       349.419600  -50.7687 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000406.fits       349.419600  -50.7687 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000407.fits       349.419600  -50.7687 +40.0000    0.00 2016-03-22T08:00:00	
b160320.000370.fits             FLAT  303.7168 -84.6349    4.76 2016-03-21T23:18:35	
b160320.000371.fits             FLAT  303.7168 -84.6349    4.76 2016-03-21T23:18:43	
b160320.000372.fits             FLAT  303.7168 -84.6349    4.76 2016-03-21T23:18:51	
b160320.000373.fits             FLAT  305.5015 -84.6370    6.61 2016-03-21T23:24:40	
b160320.000374.fits             FLAT  305.5015 -84.6370    6.61 2016-03-21T23:24:50	
b160320.000375.fits             FLAT  305.5015 -84.6370    6.61 2016-03-21T23:25:00	
b160320.000376.fits             FLAT  307.0728 -84.6389    8.66 2016-03-21T23:30:57	
b160320.000377.fits             FLAT  307.0728 -84.6389    8.66 2016-03-21T23:31:09	
b160320.000378.fits             FLAT  307.0728 -84.6389    8.66 2016-03-21T23:31:21	
b160320.000379.fits             FLAT  308.6867 -84.6407   11.29 2016-03-21T23:37:15	
b160320.000380.fits             FLAT  308.6867 -84.6407   11.29 2016-03-21T23:37:29	
b160320.000381.fits             FLAT  308.6867 -84.6407   11.29 2016-03-21T23:37:44	
b160320.000382.fits             FLAT  310.3188 -84.6425   14.58 2016-03-21T23:43:40	
b160320.000383.fits             FLAT  310.3188 -84.6425   14.58 2016-03-21T23:43:58	
b160320.000384.fits             FLAT  310.3188 -84.6425   14.58 2016-03-21T23:44:16	
b160320.000385.fits             FLAT  311.9837 -84.6443   18.74 2016-03-21T23:50:15	
b160320.000386.fits             FLAT  311.9837 -84.6443   18.74 2016-03-21T23:50:37	
b160320.000387.fits             FLAT  311.9837 -84.6443   18.74 2016-03-21T23:50:59	
b160320.000388.fits             FLAT  313.7103 -84.6462   24.07 2016-03-21T23:57:05	
b160320.000389.fits             FLAT  315.2796 -84.6477   29.97 2016-03-22T00:03:12	
b160320.000390.fits             FLAT  316.8575 -84.6493   37.08 2016-03-22T00:09:25	
b160320.000391.fits             FLAT  318.4668 -84.6508   45.74 2016-03-22T00:15:46	
b160320.000392.fits             FLAT  320.1134 -84.6523   56.26 2016-03-22T00:22:15	
b160320.000393.fits             FLAT  321.8166 -84.6538   69.14 2016-03-22T00:28:56	
b160320.000394.fits             FLAT  323.5666 -84.6553   84.68 2016-03-22T00:35:50	
b160320.000395.fits           FF100S  325.3854 -84.6567  100.00 2016-03-22T00:43:00	
b160320.000396.fits           FF100S  327.2686 -84.6581  100.00 2016-03-22T00:50:24	
b160320.000397.fits           FF100S  329.1553 -84.6594  100.00 2016-03-22T00:57:50	
b160320.000398.fits           FF100S  331.0463 -84.6607  100.00 2016-03-22T01:05:15	
b160320.000399.fits           survey  353.2092 -53.6989   40.00 2016-03-22T01:18:00	
b160320.000400.fits           survey  353.2092 -53.6989   40.00 2016-03-22T01:18:43	
b160320.000401.fits           survey  353.2092 -53.6989   40.00 2016-03-22T01:19:26	
b160320.000402.fits           survey  350.8201 -53.6989   40.00 2016-03-22T01:25:40	
b160320.000403.fits           survey  350.8201 -53.6989   40.00 2016-03-22T01:26:23	
b160320.000404.fits           survey  350.8201 -53.6989   40.00 2016-03-22T01:27:07	
b160320.000405.fits           survey  349.4196 -50.7687   40.00 2016-03-22T01:43:15	
b160320.000406.fits           survey  349.4196 -50.7687   40.00 2016-03-22T01:43:58	
b160320.000407.fits           survey  349.4196 -50.7687   40.00 2016-03-22T01:44:41	
b160321.000001.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:01:21	
b160321.000002.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:01:44	
b160321.000003.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:02:09	
b160321.000004.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:02:33	
b160321.000005.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:02:57	
b160321.000006.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:03:20	
b160321.000007.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:06:01	
b160321.000008.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:06:25	
b160321.000009.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:06:50	
b160321.000010.fits           survey  353.9076 -50.7687    3.00 2016-03-22T02:07:15	
