disk_id,   hit_count,   start_times,     energy
      0,         463,            26,    25274.6
      1,         169,            10,     9108.3
      2,          15,            14,     5418.7
      3,          10,             8,     2795.4
      4,          45,            20,     8764.7
      5,           4,             4,     1382.7
      6,         120,            20,    11143.2
      7,          12,            11,     3986.7
      8,          49,            15,     7586.0
      9,          98,            20,    11522.7
     10,           9,             7,     2539.7
     11,           8,             6,     2107.1
     12,          58,            22,    12122.5
     13,          57,            10,     5128.6
     14,         105,            14,     8726.7
     15,          61,            14,     7401.9
     16,          12,            12,     4270.1
     17,          54,            16,     7534.3
     18,          46,            16,     7907.9
     19,          89,            23,    11629.1
     20,          36,             8,     3795.4
     21,           1,             1,      335.0
     22,         105,            18,    10098.3
     23,           4,             4,     1376.6
     24,          35,            29,    12641.5
     25,          11,             9,     3386.6
     26,         287,            24,    18159.6
     27,           5,             3,     1059.4
     28,         115,            26,    13959.3
     29,          67,            17,     8067.6
     30,          16,            14,     5195.8
     31,          97,            14,     8255.1
     32,          74,            22,    12560.3
     33,          10,             8,     3082.1
     34,          13,             9,     3573.7
     35,          89,            11,     6251.9
     36,          14,            10,     3745.5
     37,          71,            17,     9091.4
     38,          74,            11,     6135.0
     39,          66,            12,     6123.2
     40,          49,             6,     3326.0
     41,         104,            14,     8716.4
     42,         139,            16,    10876.2
     43,         211,            12,    11230.3
     44,         103,            19,     9827.1
     45,         574,            22,    27945.0
     46,         374,            16,    18198.3
     47,         133,            30,    16604.0
     48,          56,            24,    11326.0
     49,          22,            21,     8446.9
     50,         249,            32,    23101.4
     51,         147,            35,    20733.3
     52,          34,            32,    13714.6
     53,         342,            31,    25458.1
     54,         134,            29,    15636.0
     55,          35,            34,    16004.4
     56,          39,            37,    16023.0
     57,          98,            28,    15145.3
     58,          67,            37,    19431.5
     59,          38,            38,    16347.3
     60,          52,            31,    17292.1
     61,          65,            27,    13518.5
     62,          41,            40,    17581.3
     63,          48,            26,    12127.0
     64,         135,            42,    22663.1
     65,         188,            36,    22842.6
     66,          97,            45,    23120.1
     67,          49,            36,    16817.8
     68,         250,            27,    20707.0
     69,          22,            22,     8608.3

Total start times: 1400.
Average start times per disk: 20.000000.

Total energy consumed: 776.613100 kJ.
Average energy consumed per second: 76.717683 J.

Average opened disks per second: 6.813198.
