disk_id,   hit_count,   start_times,     energy
      0,         158,            64,    33988.6
      1,         111,            35,    18794.2
      2,          68,            50,    24169.2
      3,          28,            22,    10339.2
      4,          76,            54,    26197.5
      5,          36,            30,    14141.6
      6,          93,            49,    24950.1
      7,          52,            42,    19710.0
      8,          70,            48,    23028.5
      9,         119,            54,    28038.1
     10,          62,            33,    16077.2
     11,          33,            22,    10359.3
     12,         136,            69,    35789.3
     13,          58,            46,    21677.8
     14,          69,            39,    19017.2
     15,          90,            40,    20365.9
     16,          33,            28,    13121.1
     17,          75,            49,    24362.9
     18,          92,            48,    24395.5
     19,         113,            62,    30868.0
     20,          55,            35,    17008.7
     21,          21,             9,     4439.4
     22,          78,            51,    24803.9
     23,          29,            19,     8955.0
     24,         113,            71,    34437.3
     25,          36,            25,    12065.8
     26,          89,            57,    27986.9
     27,          12,             8,     3764.8
     28,         108,            60,    30104.2
     29,          77,            45,    22265.0
     30,          54,            38,    18179.4
     31,          87,            50,    24411.5
     32,         130,            68,    33585.9
     33,          58,            33,    16310.0
     34,          41,            27,    12725.9
     35,          71,            37,    18022.9
     36,          46,            27,    12922.9
     37,          90,            54,    26938.2
     38,          74,            42,    20918.4
     39,          71,            42,    20330.5
     40,          35,            20,     9731.0
     41,          85,            46,    23247.9
     42,         103,            47,    24698.0
     43,          75,            38,    19147.1
     44,          79,            45,    21678.9
     45,         152,            62,    33539.2
     46,         109,            59,    29006.2
     47,         110,            60,    30103.7
     48,         104,            63,    31254.3
     49,          72,            47,    23275.3
     50,         193,            75,    41870.5
     51,         130,            74,    38135.0
     52,         116,            72,    35875.9
     53,         154,            84,    42933.3
     54,         110,            70,    35127.6
     55,         137,            79,    39193.4
     56,         107,            64,    33083.3
     57,         129,            69,    35184.1
     58,         158,            80,    41829.2
     59,         117,            78,    38506.3
     60,         173,            79,    42490.6
     61,         114,            58,    29847.0
     62,         126,            73,    37822.1
     63,         116,            71,    35860.9
     64,         112,            70,    35859.1
     65,         198,            84,    44874.3
     66,         149,            82,    42334.2
     67,         130,            70,    36428.0
     68,         139,            74,    38995.9
     69,          88,            59,    29282.9

Total start times: 3634.
Average start times per disk: 51.914286.

Total energy consumed: 1830.783000 kJ.
Average energy consumed per second: 182.676412 J.

Average opened disks per second: 15.339852.
