disk_id,   hit_count,   start_times,     energy
      0,         158,            37,    48937.3
      1,         111,            24,    29273.7
      2,          68,            34,    37843.3
      3,          28,            17,    17437.8
      4,          76,            33,    39168.3
      5,          36,            22,    23494.9
      6,          93,            31,    38313.6
      7,          52,            29,    31269.7
      8,          70,            35,    38632.5
      9,         119,            29,    40906.2
     10,          62,            22,    24842.6
     11,          33,            20,    18655.8
     12,         136,            33,    50285.8
     13,          58,            33,    35024.8
     14,          69,            30,    31734.9
     15,          90,            26,    31196.9
     16,          33,            22,    21778.5
     17,          75,            31,    36988.3
     18,          92,            30,    36685.4
     19,         113,            34,    44435.3
     20,          55,            24,    26609.8
     21,          21,             9,     8282.4
     22,          78,            33,    38008.8
     23,          29,            18,    16491.8
     24,         113,            36,    48808.5
     25,          36,            20,    20274.6
     26,          89,            32,    40848.9
     27,          12,             8,     7180.8
     28,         108,            36,    45573.7
     29,          77,            32,    36093.9
     30,          54,            28,    29893.9
     31,          87,            36,    39506.4
     32,         130,            36,    47129.8
     33,          58,            21,    25359.3
     34,          41,            24,    23142.4
     35,          71,            29,    29980.9
     36,          46,            21,    21318.0
     37,          90,            27,    36628.7
     38,          74,            29,    32398.8
     39,          71,            26,    30369.0
     40,          35,            19,    17804.6
     41,          85,            32,    36683.6
     42,         103,            32,    37941.8
     43,          75,            24,    29014.3
     44,          79,            32,    35080.8
     45,         152,            33,    46762.1
     46,         109,            37,    44719.2
     47,         110,            33,    43240.7
     48,         104,            37,    45943.5
     49,          72,            33,    37284.4
     50,         193,            30,    52694.0
     51,         130,            31,    49476.5
     52,         116,            38,    50500.0
     53,         154,            31,    55186.2
     54,         110,            36,    49800.5
     55,         137,            33,    50648.5
     56,         107,            37,    48574.9
     57,         129,            32,    49622.9
     58,         158,            34,    54845.9
     59,         117,            31,    50202.6
     60,         173,            29,    52549.8
     61,         114,            36,    43864.2
     62,         126,            34,    51810.0
     63,         116,            39,    50094.1
     64,         112,            39,    52370.4
     65,         198,            33,    56388.6
     66,         149,            36,    54557.9
     67,         130,            39,    52097.5
     68,         139,            36,    53438.0
     69,          88,            29,    41167.1

Total start times: 2092.
Average start times per disk: 29.885714.

Total energy consumed: 2675.170600 kJ.
Average energy consumed per second: 265.078339 J.

Average opened disks per second: 34.978795.
