time,disk_0,disk_1,disk_2,disk_3,disk_4,disk_5,disk_6,disk_7,disk_8,disk_9,disk_10,disk_11,disk_12,disk_13,disk_14,disk_15,disk_16,disk_17,opened, ,tasks_0,tasks_1,tasks_2,tasks_3,tasks_4,tasks_5,tasks_6,tasks_7,tasks_8,tasks_9,tasks_10,tasks_11,tasks_12,tasks_13,tasks_14,tasks_15,tasks_16,tasks_17, ,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17
1479,0,16,15,12,11,15,11,11,15,40,-7,40,5,5,9,12,0,9,17, ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,18821.000000,22882.000000,20191.000000,19549.000000,10363.000000,24896.000000,27979.000000,19119.000000,22796.000000,16718.000000,20668.000000,38669.000000,33498.000000,48568.000000,49346.500000,47072.000000,48191.500000,56252.500000
1480,0,17,16,13,12,16,12,12,16,41,-7,41,6,6,10,13,0,10,17, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,18857.000000,22909.000000,20228.000000,19574.000000,10381.000000,24925.000000,28014.000000,19130.000000,22812.000000,16733.000000,20685.000000,38711.000000,33551.000000,48636.000000,49410.500000,47145.000000,48268.500000,56331.500000
1481,0,18,17,14,0,17,13,0,17,42,-7,42,7,7,0,14,0,11,17, ,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0, ,18894.000000,22936.000000,20265.000000,19599.000000,10399.500000,24954.000000,28049.000000,19141.500000,22828.000000,16748.000000,20702.000000,38753.000000,33604.000000,48704.000000,49475.500000,47218.000000,48345.500000,56410.500000
1482,0,19,18,15,0,18,14,0,18,43,-7,43,8,8,0,15,1,12,17, ,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0, ,18931.000000,22963.000000,20302.000000,19624.000000,10418.000000,24983.000000,28084.000000,19153.000000,22844.000000,16763.000000,20719.000000,38795.000000,33657.000000,48772.000000,49540.500000,47291.000000,48422.500000,56489.500000
1483,0,20,19,16,0,19,15,0,19,44,-7,44,9,9,0,16,2,13,17, ,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0, ,18968.000000,22990.000000,20338.000000,19648.000000,10436.500000,25012.000000,28119.000000,19164.500000,22860.000000,16778.000000,20736.000000,38837.000000,33710.000000,48840.000000,49605.500000,47364.000000,48499.500000,56568.500000
1484,0,21,20,17,0,20,16,0,20,45,-7,45,10,10,0,17,3,14,17, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,19005.000000,23017.000000,20374.000000,19672.000000,10455.000000,25041.000000,28154.000000,19176.000000,22876.000000,16793.000000,20753.000000,38879.000000,33763.000000,48908.000000,49670.500000,47437.000000,48576.500000,56647.500000
1485,0,22,21,18,1,21,17,1,21,46,-7,46,11,11,0,18,4,15,17, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,19040.000000,23043.000000,20409.000000,19695.000000,10472.500000,25070.000000,28188.000000,19187.500000,22892.000000,16808.000000,20770.000000,38921.000000,33816.000000,48976.000000,49735.500000,47508.000000,48652.500000,56726.500000
1486,0,23,22,19,2,22,18,2,22,47,-7,47,12,12,0,19,5,16,17, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,19075.000000,23069.000000,20444.000000,19718.000000,10490.000000,25099.000000,28222.000000,19199.000000,22908.000000,16823.000000,20787.000000,38963.000000,33869.000000,49044.000000,49800.500000,47579.000000,48728.500000,56805.500000
1487,0,24,23,20,3,23,19,3,23,48,-7,48,13,13,0,20,6,17,17, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,19110.000000,23095.000000,20479.000000,19741.000000,10507.500000,25128.000000,28256.000000,19210.500000,22924.000000,16838.000000,20804.000000,39005.000000,33922.000000,49112.000000,49865.500000,47650.000000,48804.500000,56884.500000
1488,0,25,24,21,4,24,20,4,24,49,-7,49,14,14,0,21,7,18,17, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19145.000000,23121.000000,20514.000000,19764.000000,10525.000000,25157.000000,28290.000000,19222.000000,22940.000000,16853.000000,20821.000000,39047.000000,33975.000000,49180.000000,49930.500000,47721.000000,48880.500000,56963.500000
1489,0,26,25,22,5,25,21,5,25,50,-7,50,15,15,1,22,8,19,17, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19180.000000,23147.000000,20549.000000,19787.000000,10542.500000,25186.000000,28324.000000,19233.500000,22956.000000,16868.000000,20838.000000,39089.000000,34028.000000,49248.000000,49995.500000,47792.000000,48956.500000,57042.500000
1490,0,27,26,23,6,26,22,6,26,51,-7,51,16,16,2,23,9,20,17, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19215.000000,23173.000000,20584.000000,19810.000000,10560.000000,25215.000000,28358.000000,19245.000000,22972.000000,16883.000000,20855.000000,39131.000000,34081.000000,49316.000000,50060.500000,47863.000000,49032.500000,57121.500000
1491,0,28,27,24,7,27,23,7,27,52,-7,52,17,17,3,24,10,21,17, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19250.000000,23199.000000,20619.000000,19833.000000,10577.500000,25244.000000,28392.000000,19256.500000,22988.000000,16898.000000,20872.000000,39173.000000,34134.000000,49384.000000,50125.500000,47934.000000,49108.500000,57200.500000
1492,0,29,28,25,8,28,24,8,28,53,-7,53,18,18,4,25,11,22,17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19285.000000,23225.000000,20654.000000,19856.000000,10595.000000,25273.000000,28426.000000,19268.000000,23004.000000,16913.000000,20889.000000,39215.000000,34187.000000,49452.000000,50190.500000,48005.000000,49184.500000,57279.500000
1493,1,30,29,26,9,29,25,9,29,54,-7,54,19,19,5,26,12,23,17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19320.000000,23251.000000,20689.000000,19879.000000,10612.500000,25302.000000,28460.000000,19279.500000,23020.000000,16928.000000,20906.000000,39257.000000,34240.000000,49520.000000,50255.500000,48076.000000,49260.500000,57358.500000
1494,2,31,30,27,10,30,26,10,30,55,-7,55,20,20,6,27,13,24,17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19355.000000,23277.000000,20724.000000,19902.000000,10630.000000,25331.000000,28494.000000,19291.000000,23036.000000,16943.000000,20923.000000,39299.000000,34293.000000,49588.000000,50320.500000,48147.000000,49336.500000,57437.500000
1495,3,32,31,28,11,31,27,11,31,56,-7,56,21,21,7,28,14,25,17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19390.000000,23303.000000,20759.000000,19925.000000,10647.500000,25360.000000,28528.000000,19302.500000,23052.000000,16958.000000,20940.000000,39341.000000,34346.000000,49656.000000,50385.500000,48218.000000,49412.500000,57516.500000
1496,4,33,32,29,12,32,28,12,32,57,-7,57,22,22,8,29,15,26,17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19425.000000,23329.000000,20794.000000,19948.000000,10665.000000,25389.000000,28562.000000,19314.000000,23068.000000,16973.000000,20957.000000,39383.000000,34399.000000,49724.000000,50450.500000,48289.000000,49488.500000,57595.500000
1497,5,34,33,30,13,33,29,13,33,58,-7,58,23,23,9,30,16,27,17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19460.000000,23355.000000,20829.000000,19971.000000,10682.500000,25418.000000,28596.000000,19325.500000,23084.000000,16988.000000,20974.000000,39425.000000,34452.000000,49792.000000,50515.500000,48360.000000,49564.500000,57674.500000
1498,6,35,34,31,14,34,30,14,34,59,-7,59,24,24,10,31,17,28,17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19495.000000,23381.000000,20863.000000,19994.000000,10700.000000,25447.000000,28625.000000,19337.000000,23100.000000,17002.000000,20991.000000,39467.000000,34505.000000,49859.000000,50580.500000,48431.000000,49640.500000,57751.500000
1499,7,36,35,32,15,35,31,15,35,60,-7,60,25,25,11,32,18,29,17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19530.000000,23407.000000,20897.000000,20017.000000,10717.500000,25476.000000,28654.000000,19348.500000,23116.000000,17016.000000,21008.000000,39509.000000,34558.000000,49926.000000,50645.500000,48502.000000,49716.500000,57828.500000
