disk_id,   hit_count,   start_times,     energy
      0,         158,            28,    51163.0
      1,         111,            23,    31918.3
      2,          68,            32,    41491.6
      3,          28,            16,    19167.4
      4,          76,            28,    41874.9
      5,          36,            21,    25950.4
      6,          93,            24,    40160.6
      7,          52,            27,    34247.0
      8,          70,            28,    40943.1
      9,         119,            28,    44197.4
     10,          62,            19,    26767.9
     11,          33,            18,    20498.5
     12,         136,            24,    52078.4
     13,          58,            31,    38368.1
     14,          69,            25,    33886.4
     15,          90,            24,    33850.9
     16,          33,            19,    23520.8
     17,          75,            29,    40160.8
     18,          92,            27,    39568.4
     19,         113,            34,    48583.3
     20,          55,            22,    28964.9
     21,          21,             9,     9380.4
     22,          78,            28,    40526.3
     23,          29,            17,    18343.4
     24,         113,            31,    51789.6
     25,          36,            20,    22714.6
     26,          89,            27,    43470.1
     27,          12,             8,     8156.8
     28,         108,            32,    48960.2
     29,          77,            31,    39653.5
     30,          54,            25,    32587.8
     31,          87,            31,    42487.5
     32,         130,            31,    50251.2
     33,          58,            21,    27921.3
     34,          41,            22,    25418.2
     35,          71,            28,    33211.1
     36,          46,            21,    23880.0
     37,          90,            25,    39398.6
     38,          74,            24,    34349.0
     39,          71,            25,    33306.4
     40,          35,            18,    19833.1
     41,          85,            29,    39774.0
     42,         103,            28,    40687.8
     43,          75,            22,    31412.1
     44,          79,            30,    38393.6
     45,         152,            25,    48581.9
     46,         109,            30,    47115.2
     47,         110,            28,    45843.6
     48,         104,            27,    47678.4
     49,          72,            32,    40990.4
     50,         193,            24,    54891.5
     51,         130,            28,    52457.1
     52,         116,            28,    52588.7
     53,         154,            26,    57789.1
     54,         110,            28,    51961.9
     55,         137,            28,    53294.1
     56,         107,            32,    51824.4
     57,         129,            28,    52393.3
     58,         158,            30,    57927.4
     59,         117,            24,    52116.7
     60,         173,            26,    55237.6
     61,         114,            30,    46464.3
     62,         126,            27,    53937.6
     63,         116,            31,    52792.3
     64,         112,            31,    54989.3
     65,         198,            29,    59354.2
     66,         149,            25,    56088.7
     67,         130,            31,    54515.1
     68,         139,            30,    56330.9
     69,          88,            25,    43693.5

Total start times: 1813.
Average start times per disk: 25.900000.

Total energy consumed: 2854.125900 kJ.
Average energy consumed per second: 282.251375 J.

Average opened disks per second: 38.899525.
