disk_id,   hit_count,   start_times,     energy
      0,         158,            35,    50639.7
      1,         111,            24,    30737.7
      2,          68,            34,    39917.3
      3,          28,            16,    18191.4
      4,          76,            31,    40712.1
      5,          36,            22,    24836.9
      6,          93,            28,    39439.8
      7,          52,            28,    32755.3
      8,          70,            32,    40033.2
      9,         119,            29,    42675.2
     10,          62,            21,    25962.2
     11,          33,            19,    19598.5
     12,         136,            30,    51601.1
     13,          58,            31,    36477.1
     14,          69,            27,    32800.1
     15,          90,            25,    32517.8
     16,          33,            19,    22361.8
     17,          75,            30,    38577.6
     18,          92,            29,    38323.5
     19,         113,            34,    46509.3
     20,          55,            24,    28073.8
     21,          21,             9,     8831.4
     22,          78,            30,    39232.6
     23,          29,            17,    17306.4
     24,         113,            35,    50776.0
     25,          36,            20,    21494.6
     26,          89,            30,    42289.0
     27,          12,             8,     7668.8
     28,         108,            35,    47535.1
     29,          77,            31,    37762.5
     30,          54,            27,    31403.9
     31,          87,            34,    41196.6
     32,         130,            35,    49091.2
     33,          58,            21,    26640.3
     34,          41,            22,    24076.2
     35,          71,            28,    31503.1
     36,          46,            21,    22599.0
     37,          90,            27,    38275.7
     38,          74,            27,    33582.7
     39,          71,            26,    31955.0
     40,          35,            18,    18735.1
     41,          85,            31,    38352.2
     42,         103,            29,    39183.9
     43,          75,            24,    30478.3
     44,          79,            31,    36731.1
     45,         152,            29,    47751.3
     46,         109,            33,    45873.1
     47,         110,            30,    44495.0
     48,         104,            32,    46905.5
     49,          72,            32,    39038.4
     50,         193,            28,    54054.8
     51,         130,            29,    50947.1
     52,         116,            33,    51651.1
     53,         154,            29,    56662.9
     54,         110,            31,    50768.6
     55,         137,            31,    52137.4
     56,         107,            36,    50585.1
     57,         129,            30,    51050.8
     58,         158,            32,    56432.4
     59,         117,            28,    51365.4
     60,         173,            26,    53651.6
     61,         114,            32,    45036.4
     62,         126,            28,    52470.3
     63,         116,            36,    51690.0
     64,         112,            34,    53643.5
     65,         198,            31,    57969.0
     66,         149,            30,    55352.4
     67,         130,            35,    53422.2
     68,         139,            35,    55423.8
     69,          88,            28,    42707.6

Total start times: 1962.
Average start times per disk: 28.028571.

Total energy consumed: 2770.527800 kJ.
Average energy consumed per second: 274.255375 J.

Average opened disks per second: 36.999406.
