disk_id,   hit_count,   start_times,     energy
      0,         158,            60,    36893.2
      1,         111,            35,    20929.2
      2,          68,            46,    26134.4
      3,          28,            21,    11391.7
      4,          76,            48,    27900.9
      5,          36,            28,    15417.0
      6,          93,            49,    27939.1
      7,          52,            40,    21760.1
      8,          70,            47,    25660.9
      9,         119,            50,    30241.2
     10,          62,            32,    17825.1
     11,          33,            21,    11454.5
     12,         136,            63,    38541.9
     13,          58,            44,    23984.1
     14,          69,            38,    21094.5
     15,          90,            38,    22220.8
     16,          33,            26,    14305.0
     17,          75,            48,    27105.1
     18,          92,            45,    26595.3
     19,         113,            55,    32660.1
     20,          55,            33,    18631.8
     21,          21,             9,     4988.4
     22,          78,            48,    27119.6
     23,          29,            19,    10114.0
     24,         113,            64,    36882.1
     25,          36,            24,    13307.4
     26,          89,            52,    30175.0
     27,          12,             8,     4252.8
     28,         108,            56,    32740.4
     29,          77,            44,    24763.2
     30,          54,            36,    19918.4
     31,          87,            50,    27461.5
     32,         130,            62,    36100.6
     33,          58,            32,    18033.5
     34,          41,            27,    14372.9
     35,          71,            36,    20020.9
     36,          46,            24,    13768.5
     37,          90,            45,    28011.0
     38,          74,            38,    22456.6
     39,          71,            38,    21801.6
     40,          35,            20,    10951.0
     41,          85,            44,    25481.0
     42,         103,            45,    27126.3
     43,          75,            36,    20953.2
     44,          79,            45,    24423.9
     45,         152,            56,    35877.0
     46,         109,            56,    31858.7
     47,         110,            56,    32648.4
     48,         104,            59,    34171.1
     49,          72,            46,    25938.2
     50,         193,            64,    43694.1
     51,         130,            67,    40720.1
     52,         116,            65,    38345.1
     53,         154,            71,    44751.3
     54,         110,            64,    37977.8
     55,         137,            67,    40989.8
     56,         107,            60,    36012.3
     57,         129,            68,    39115.8
     58,         158,            70,    44271.7
     59,         117,            66,    40308.8
     60,         173,            68,    44478.9
     61,         114,            51,    31633.0
     62,         126,            67,    40733.3
     63,         116,            61,    37803.2
     64,         112,            67,    39443.6
     65,         198,            76,    47871.4
     66,         149,            71,    44615.3
     67,         130,            63,    38848.4
     68,         139,            64,    40852.8
     69,          88,            55,    31900.8

Total start times: 3347.
Average start times per disk: 47.814286.

Total energy consumed: 1978.770600 kJ.
Average energy consumed per second: 197.245873 J.

Average opened disks per second: 18.871711.
