disk_id,   hit_count,   start_times,     energy
      0,         463,            17,    40730.0
      1,         189,            11,    21153.8
      2,          16,            15,    12530.8
      3,          11,             8,     5390.7
      4,          43,            14,    16135.5
      5,           5,             5,     3303.7
      6,         106,            14,    17417.8
      7,          14,            12,     8954.4
      8,          40,            14,    17055.7
      9,         107,            15,    25122.6
     10,          12,             9,     6512.6
     11,          12,             8,     5192.2
     12,          59,            17,    29476.5
     13,          59,            11,    10834.4
     14,          69,            14,    16921.9
     15,          64,            14,    20177.1
     16,          13,            12,     8756.4
     17,          61,            18,    19302.0
     18,          76,            15,    17475.1
     19,          63,            20,    24595.8
     20,          36,             8,     7254.1
     21,           1,             1,      591.2
     22,         109,            19,    23166.3
     23,           4,             4,     2560.0
     24,          37,            24,    29011.6
     25,          11,             8,     6385.0
     26,         122,            20,    27085.1
     27,           5,             3,     1840.2
     28,         179,            24,    34470.3
     29,          72,            19,    19225.8
     30,          19,            14,    11218.8
     31,          97,            12,    15929.4
     32,         326,            16,    37233.4
     33,          47,            11,     9843.1
     34,          12,             8,     6252.1
     35,         136,            13,    15666.2
     36,          15,            10,     7798.7
     37,          95,            14,    20511.6
     38,          77,            11,    12090.9
     39,          65,            11,    11083.0
     40,          45,             5,     4727.2
     41,         107,            12,    17376.6
     42,         156,            12,    21024.4
     43,         254,            11,    20797.0
     44,         134,            20,    22644.3
     45,         591,            14,    43411.3
     46,         332,            10,    26980.8
     47,         178,            21,    36019.2
     48,          50,            18,    20814.5
     49,          21,            17,    17198.6
     50,         125,            19,    38341.3
     51,          45,            18,    32346.8
     52,          32,            24,    27454.3
     53,         317,            17,    40710.6
     54,         135,            21,    30403.0
     55,          31,            15,    27530.0
     56,          39,            30,    35645.4
     57,          59,            18,    28708.7
     58,          79,            16,    36009.5
     59,          35,            27,    32192.5
     60,          51,            20,    34911.9
     61,          30,            15,    24348.6
     62,          44,            26,    36588.6
     63,          60,            23,    29750.7
     64,          90,            26,    43370.5
     65,         154,            12,    37391.5
     66,          86,            27,    46179.0
     67,          47,            21,    33807.5
     68,         252,            18,    39692.1
     69,          45,            20,    18518.6

Total start times: 1066.
Average start times per disk: 15.228571.

Total energy consumed: 1531.150800 kJ.
Average energy consumed per second: 149.395141 J.

Average opened disks per second: 20.082545.
