disk_id,   hit_count,   start_times,     energy
      0,         462,            24,    27248.7
      1,         150,            11,    10204.7
      2,          15,            14,     6193.4
      3,          10,             8,     3088.2
      4,          44,            19,     9686.3
      5,           5,             5,     1931.2
      6,         109,            18,    11569.2
      7,          12,            11,     4493.0
      8,          39,            14,     8134.7
      9,         112,            20,    14127.9
     10,           8,             6,     2454.8
     11,           8,             6,     2326.7
     12,          57,            20,    14060.0
     13,          58,            11,     6122.4
     14,         106,            15,    10409.8
     15,          61,            14,     8536.5
     16,          12,            12,     4776.4
     17,          57,            17,     9338.9
     18,          43,            14,     8235.5
     19,          47,            20,    11234.7
     20,          35,             8,     4170.8
     21,           1,             1,      365.5
     22,         108,            19,    12287.2
     23,           4,             4,     1529.1
     24,          35,            27,    14380.5
     25,          11,             8,     3579.0
     26,         348,            27,    23896.6
     27,           5,             3,     1150.9
     28,         136,            27,    17406.4
     29,          69,            18,     9729.1
     30,          16,            14,     5854.6
     31,          97,            14,     9377.5
     32,          75,            22,    15344.7
     33,          46,            10,     5286.9
     34,          12,             8,     3574.2
     35,          91,            12,     7291.2
     36,          14,            10,     4203.0
     37,          94,            17,    11809.9
     38,          75,            12,     7281.3
     39,          66,            12,     6818.6
     40,          45,             5,     3135.1
     41,         104,            15,     9989.5
     42,         143,            17,    13177.7
     43,         224,            11,    12258.2
     44,         104,            19,    11245.1
     45,         572,            21,    30281.5
     46,         280,            17,    17466.3
     47,         135,            29,    19656.8
     48,          53,            20,    11550.4
     49,          20,            19,     8893.2
     50,         426,            26,    30151.5
     51,         137,            33,    23644.2
     52,          32,            27,    14359.9
     53,         404,            27,    28884.0
     54,         151,            29,    19214.5
     55,          33,            27,    16784.4
     56,          40,            35,    18753.0
     57,          68,            25,    15711.7
     58,          69,            34,    23216.8
     59,          36,            32,    17166.7
     60,          50,            24,    18120.9
     61,          29,            22,    12714.4
     62,          45,            39,    21347.3
     63,          47,            24,    13527.7
     64,         108,            37,    23353.4
     65,         183,            28,    24776.9
     66,          89,            41,    26895.7
     67,          46,            31,    18088.6
     68,         125,            29,    21645.3
     69,          20,            20,     9024.1

Total start times: 1315.
Average start times per disk: 18.785714.

Total energy consumed: 874.544800 kJ.
Average energy consumed per second: 86.332162 J.

Average opened disks per second: 8.723889.
