disk_id,   hit_count,   start_times,     energy
      0,         340,            27,    18977.2
      1,         170,            11,     8473.4
      2,          17,            15,     4957.4
      3,          11,             9,     2819.3
      4,          43,            18,     6777.1
      5,           5,             5,     1546.9
      6,         141,            20,    10241.0
      7,          13,            12,     3809.3
      8,          51,            17,     6993.3
      9,         103,            24,    11041.6
     10,          11,             8,     2590.8
     11,          11,             8,     2517.6
     12,          73,            25,    10687.1
     13,         131,            10,     6626.4
     14,         106,            15,     7908.8
     15,          61,            14,     6224.6
     16,          13,            13,     4068.3
     17,          55,            18,     7054.7
     18,          97,            19,     8986.3
     19,         108,            21,     9694.2
     20,          39,            10,     4035.1
     21,           1,             1,      304.5
     22,          82,            17,     7688.7
     23,           4,             4,     1230.2
     24,          34,            29,    10326.8
     25,          10,             8,     2624.6
     26,         412,            24,    19351.4
     27,           5,             3,      967.9
     28,         260,            28,    16542.5
     29,          45,            18,     6703.4
     30,          14,            12,     3867.0
     31,          40,            13,     5353.8
     32,         101,            25,    11589.0
     33,          11,             9,     2953.5
     34,          12,             8,     2823.9
     35,          89,            11,     5696.8
     36,          13,             9,     2953.0
     37,          72,            20,     8376.7
     38,          60,            13,     5566.3
     39,          77,            11,     5413.1
     40,          50,             7,     3362.1
     41,         104,            14,     7545.2
     42,          38,            16,     6457.6
     43,         211,            13,    10348.6
     44,         125,            17,     8763.7
     45,         720,            26,    29642.9
     46,         270,            14,    12511.1
     47,         109,            31,    13343.2
     48,          50,            19,     7458.3
     49,          20,            20,     6718.3
     50,          68,            38,    16108.8
     51,         159,            31,    15242.3
     52,          33,            31,    10866.4
     53,         299,            36,    21412.3
     54,         163,            28,    13597.7
     55,          31,            30,    11102.0
     56,          35,            33,    11706.2
     57,          99,            29,    12662.1
     58,          82,            35,    14490.6
     59,          36,            36,    12590.7
     60,          47,            31,    12629.9
     61,          68,            26,    10826.2
     62,          39,            38,    13483.1
     63,          46,            25,     9483.4
     64,         134,            42,    18311.0
     65,         133,            31,    14976.4
     66,          96,            46,    18459.7
     67,          47,            34,    12683.0
     68,         292,            29,    18466.7
     69,          21,            20,     6678.4

Total start times: 1408.
Average start times per disk: 20.114286.

Total energy consumed: 648.291400 kJ.
Average energy consumed per second: 64.187267 J.

Average opened disks per second: 4.716436.
