disk_id,   hit_count,   start_times,     energy
      0,         463,            17,    38924.4
      1,         189,            11,    19842.3
      2,          16,            15,    11682.9
      3,          11,             8,     5085.7
      4,          43,            15,    15333.1
      5,           5,             5,     3114.6
      6,         106,            14,    16441.8
      7,          14,            12,     8417.6
      8,          40,            14,    15884.5
      9,         107,            15,    23731.8
     10,          12,             9,     6122.2
     11,          12,             8,     4887.2
     12,          59,            17,    27701.4
     13,          59,            11,    10206.1
     14,          69,            14,    15933.7
     15,          64,            15,    19088.0
     16,          13,            12,     8231.8
     17,          61,            19,    18371.5
     18,          76,            15,    16346.6
     19,          63,            21,    23146.8
     20,          36,             8,     6833.2
     21,           1,             1,      554.6
     22,         109,            19,    21714.5
     23,           4,             4,     2413.6
     24,          37,            24,    27090.1
     25,          11,             8,     5970.2
     26,         122,            21,    25733.7
     27,           5,             3,     1730.4
     28,         179,            25,    32496.7
     29,          72,            19,    18060.7
     30,          19,            15,    10697.0
     31,          97,            12,    14977.8
     32,         326,            17,    35540.4
     33,          47,            11,     9257.5
     34,          12,             8,     5861.7
     35,         136,            14,    15113.9
     36,          15,            10,     7329.0
     37,          95,            14,    19297.7
     38,          77,            11,    11395.5
     39,          65,            11,    10448.6
     40,          45,             5,     4495.4
     41,         107,            13,    16641.3
     42,         156,            12,    19932.5
     43,         254,            11,    19778.3
     44,         134,            21,    21512.5
     45,         591,            14,    41788.7
     46,         332,            11,    25983.2
     47,         178,            21,    34085.5
     48,          50,            18,    19387.1
     49,          21,            17,    16051.8
     50,         125,            19,    36127.0
     51,          45,            20,    30973.8
     52,          32,            24,    25642.6
     53,         317,            17,    38783.0
     54,         135,            22,    28874.7
     55,          31,            16,    26190.8
     56,          39,            30,    33193.2
     57,          59,            18,    27006.8
     58,          79,            19,    34730.8
     59,          35,            27,    29984.3
     60,          51,            20,    32722.0
     61,          30,            18,    23570.1
     62,          44,            27,    34700.4
     63,          60,            23,    27798.7
     64,          90,            27,    41098.0
     65,         154,            15,    36356.8
     66,          86,            28,    43644.2
     67,          47,            23,    32312.5
     68,         252,            19,    37779.5
     69,          45,            20,    17323.0

Total start times: 1097.
Average start times per disk: 15.671429.

Total energy consumed: 1449.479300 kJ.
Average energy consumed per second: 141.661386 J.

Average opened disks per second: 18.687842.
